ClaimNo,TransactionDate,Action,CaseReserve,Payment
15,2002-02-06,INT40,0,0
15,2002-06-30,RES,0,0
15,2002-10-21,INT70,0,0
15,2003-04-11,INT90,0,0
15,2003-06-30,RES,0,0
15,2003-07-05,PMT,-2835.625035,2835.625035
16,2001-02-20,RPT,4631.415143,0
16,2001-06-30,RES,0,0
16,2001-12-25,INT40,0,0
16,2002-06-30,RES,0,0
16,2002-08-12,INT70,0,0
16,2003-01-13,INT90,0,0
16,2003-03-08,PMT,-1412.387139,1412.387139
16,2003-03-30,PMT,-3219.028004,3219.028004
17,2001-05-05,RPT,11156.39894,0
17,2001-06-30,RES,0,0
17,2001-09-02,PMT,-3804.62898,3804.62898
17,2002-06-30,RES,0,0
17,2003-06-30,RES,0,0
17,2004-01-30,INT40,0,0
17,2004-06-30,RES,0,0
17,2005-06-30,RES,0,0
17,2006-02-18,INT70,0,0
17,2006-06-30,RES,0,0
17,2007-06-30,RES,0,0
17,2007-07-03,INT90,0,0
17,2007-12-26,PMT,-1832.498298,1832.498298
17,2008-03-08,PMT,-5519.271662,5519.271662
18,2001-04-03,RPT,26046.89312,0
18,2001-06-30,RES,0,0
18,2001-10-15,PMT,-2877.246004,2877.246004
18,2002-06-30,RES,0,0
18,2003-06-30,RES,0,0
18,2004-06-30,RES,0,0
18,2004-11-30,PMT,-2257.31272,2257.31272
18,2005-06-30,RES,0,0
18,2006-01-07,PMT,-3453.812921,3453.812921
18,2006-06-30,RES,0,0
18,2007-06-30,RES,0,0
18,2008-05-02,PMT,-1934.599226,1934.599226
18,2008-06-30,RES,0,0
18,2008-12-27,INT40,0,0
18,2009-06-30,RES,0,0
18,2010-03-17,PMT,-1645.359816,1645.359816
18,2010-06-30,RES,0,0
18,2011-06-30,RES,0,0
18,2012-06-30,RES,0,0
18,2013-06-30,RES,0,0
18,2014-06-30,RES,0,0
18,2014-10-15,INT70,0,0
18,2015-02-09,PMT,-3841.434031,3841.434031
18,2015-06-30,RES,0,0
18,2015-08-16,PMT,-4524.506879,4524.506879
18,2016-05-30,PMT,-1459.061602,1459.061602
18,2016-06-30,RES,0,0
18,2017-06-30,RES,0,0
18,2018-06-30,RES,0,0
18,2018-08-28,INT90,0,0
18,2018-12-07,PMT,-2203.054196,2203.054196
18,2019-06-30,RES,0,0
18,2020-06-30,RES,0,0
18,2020-08-03,PMT,-1850.505729,1850.505729
19,2001-02-19,RPT,2674.860302,0
19,2001-06-30,RES,0,0
19,2002-02-09,PMT,-2493.339745,2493.339745
19,2002-06-30,RES,0,0
19,2002-07-28,INT40,0,0
19,2003-06-30,RES,0,0
19,2003-08-26,INT70,0,0
19,2004-05-14,INT90,0,0
19,2004-06-30,RES,0,0
19,2004-09-21,PMT,-181.5205564,181.5205564
20,2001-04-10,RPT,5384.459686,0
20,2001-06-30,RES,0,0
20,2002-06-30,RES,0,0
20,2003-06-30,RES,0,0
20,2003-07-02,INT40,0,0
20,2004-06-30,RES,0,0
20,2005-03-03,INT70,0,0
20,2005-06-30,RES,0,0
20,2005-09-25,PMT,-4043.601534,4043.601534
20,2006-04-13,INT90,0,0
20,2006-06-30,RES,0,0
20,2006-11-02,PMT,-1340.858152,1340.858152
21,2001-01-20,RPT,821.3159561,0
21,2001-06-30,RES,0,0
21,2002-06-05,INT40,0,0
21,2002-06-30,RES,0,0
21,2003-06-16,INT70,0,0
21,2003-06-30,RES,0,0
21,2004-02-21,INT90,0,0
21,2004-06-25,PMT,-821.3159561,821.3159561
22,2001-04-20,RPT,3361.984029,0
22,2001-06-30,RES,0,0
22,2001-08-01,INT40,0,0
22,2001-10-17,INT70,0,0
22,2001-12-08,INT90,0,0
22,2002-01-02,PMT,-3361.984029,3361.984029
23,2001-06-27,RPT,3625.243914,0
23,2001-06-30,RES,0,0
23,2001-10-31,INT40,0,0
23,2002-02-03,INT70,0,0
23,2002-04-07,INT90,0,0
23,2002-05-08,PMT,-3625.243914,3625.243914
24,2001-02-14,RPT,11866.32475,0
24,2001-06-30,RES,0,0
24,2001-11-03,PMT,-3486.941841,3486.941841
24,2002-02-22,PMT,-4905.933418,4905.933418
24,2002-06-30,RES,0,0
24,2002-10-18,INT40,0,0
24,2003-06-30,RES,0,0
24,2004-01-19,INT70,0,0
24,2004-06-30,RES,0,0
24,2004-11-19,INT90,0,0
24,2005-04-20,PMT,-3473.449496,3473.449496
25,2001-09-02,RPT,9284.971415,0
25,2002-06-30,RES,0,0
25,2003-06-30,RES,0,0
25,2004-06-30,RES,0,0
25,2004-08-12,INT40,0,0
25,2005-06-30,RES,0,0
25,2006-06-30,RES,0,0
25,2006-10-27,INT70,0,0
25,2007-03-09,PMT,-6729.837565,6729.837565
25,2007-06-30,RES,0,0
25,2008-04-16,INT90,0,0
25,2008-06-30,RES,0,0
25,2009-01-09,PMT,-2555.13385,2555.13385
26,2001-04-18,RPT,8461.396364,0
26,2001-06-30,RES,0,0
26,2002-02-11,INT40,0,0
26,2002-06-30,RES,0,0
26,2002-09-23,INT70,0,0
26,2003-01-02,PMT,-1176.275487,1176.275487
26,2003-02-20,INT90,0,0
26,2003-05-05,PMT,-7285.120877,7285.120877
27,2001-02-14,RPT,4034.415073,0
27,2001-06-30,RES,0,0
27,2002-04-03,INT40,0,0
27,2002-06-30,RES,0,0
27,2003-02-06,INT70,0,0
27,2003-06-30,RES,0,0
27,2003-09-01,INT90,0,0
27,2003-12-12,PMT,-4034.415073,4034.415073
28,2002-05-25,RPT,10224.37624,0
28,2002-06-30,RES,0,0
28,2003-06-30,RES,0,0
28,2004-06-30,RES,0,0
28,2004-11-19,INT40,0,0
28,2005-06-30,RES,0,0
28,2006-06-30,RES,0,0
28,2006-10-02,INT70,0,0
28,2007-06-30,RES,0,0
28,2007-07-04,PMT,-924.9067204,924.9067204
28,2007-12-31,INT90,0,0
28,2008-05-04,PMT,-6501.963098,6501.963098
28,2008-06-30,RES,0,0
28,2008-08-14,PMT,-2797.506421,2797.506421
29,2001-06-13,RPT,16140.34327,0
29,2001-06-30,RES,0,0
29,2002-06-30,RES,0,0
29,2003-06-30,RES,0,0
29,2004-06-30,RES,0,0
29,2005-06-30,RES,0,0
29,2006-06-30,RES,0,0
29,2006-12-21,PMT,-6008.976447,6008.976447
29,2007-06-30,RES,0,0
29,2007-11-24,INT40,0,0
29,2008-06-30,RES,0,0
29,2009-06-30,RES,0,0
29,2010-06-30,RES,0,0
29,2011-06-30,RES,0,0
29,2011-10-31,PMT,-2108.373811,2108.373811
29,2012-06-30,RES,0,0
29,2012-09-24,INT70,0,0
29,2013-06-30,RES,0,0
29,2014-06-30,RES,0,0
29,2015-06-30,RES,0,0
29,2015-12-16,INT90,0,0
29,2016-06-30,RES,0,0
29,2016-08-12,PMT,-3815.553374,3815.553374
29,2017-06-30,RES,0,0
29,2017-07-26,PMT,-4207.439634,4207.439634
30,2001-02-15,RPT,7736.498971,0
30,2001-06-30,RES,0,0
30,2001-08-24,PMT,-3468.136612,3468.136612
30,2002-02-20,INT40,0,0
30,2002-06-30,RES,0,0
30,2002-11-25,INT70,0,0
30,2003-05-29,INT90,0,0
30,2003-06-30,RES,0,0
30,2003-08-29,PMT,-4268.362358,4268.362358
31,2001-06-03,RPT,9988.172445,0
31,2001-06-30,RES,0,0
31,2002-01-26,PMT,-1648.321173,1648.321173
31,2002-06-30,RES,0,0
31,2002-10-02,PMT,-2804.64968,2804.64968
31,2003-06-30,RES,0,0
31,2003-09-01,PMT,-1903.578894,1903.578894
31,2004-06-30,RES,0,0
31,2005-06-30,RES,0,0
31,2005-08-16,INT40,0,0
31,2006-06-30,RES,0,0
31,2007-06-30,RES,0,0
31,2008-06-30,RES,0,0
31,2008-10-10,INT70,0,0
31,2009-06-30,RES,0,0
31,2010-04-27,PMT,-3033.396751,3033.396751
31,2010-06-30,RES,0,0
31,2010-11-16,INT90,0,0
31,2011-06-30,RES,0,0
31,2011-12-04,PMT,-598.2259464,598.2259464
32,2001-01-03,RPT,4196.845108,0
32,2001-02-24,INT40,0,0
32,2001-04-04,INT70,0,0
32,2001-04-30,INT90,0,0
32,2001-05-12,PMT,-4196.845108,4196.845108
33,2001-04-12,RPT,7218.271258,0
33,2001-06-30,RES,0,0
33,2001-12-08,PMT,-2336.687621,2336.687621
33,2002-06-30,RES,0,0
33,2002-07-23,INT40,0,0
33,2003-06-30,RES,0,0
33,2003-07-08,INT70,0,0
33,2004-02-27,INT90,0,0
33,2004-06-22,PMT,-4881.583637,4881.583637
34,2001-01-16,RPT,2532.00675,0
34,2001-04-24,INT40,0,0
34,2001-06-30,RES,0,0
34,2001-07-07,INT70,0,0
34,2001-08-25,INT90,0,0
34,2001-09-18,PMT,-2532.00675,2532.00675
35,2001-03-20,RPT,3356.411524,0
35,2001-06-30,RES,0,0
35,2001-07-06,INT40,0,0
35,2001-09-26,INT70,0,0
35,2001-11-19,INT90,0,0
35,2001-12-16,PMT,-3356.411524,3356.411524
36,2001-01-29,RPT,4164.709337,0
36,2001-06-30,RES,0,0
36,2002-06-04,INT40,0,0
36,2002-06-30,RES,0,0
36,2003-02-08,PMT,-2644.951799,2644.951799
36,2003-06-08,INT70,0,0
36,2003-06-30,RES,0,0
36,2004-02-08,INT90,0,0
36,2004-06-10,PMT,-1519.757538,1519.757538
37,2001-05-11,RPT,3386.319312,0
37,2001-05-30,INT40,0,0
37,2001-06-14,INT70,0,0
37,2001-06-24,INT90,0,0
37,2001-06-28,PMT,-3386.319312,3386.319312
38,2001-03-31,RPT,504.1988067,0
38,2001-06-30,RES,0,0
38,2002-02-06,INT40,0,0
38,2002-06-30,RES,0,0
38,2002-09-28,INT70,0,0
38,2003-03-03,INT90,0,0
38,2003-05-19,PMT,-504.1988067,504.1988067
39,2001-02-13,RPT,3791.828364,0
39,2001-06-30,RES,0,0
39,2002-01-13,INT40,0,0
39,2002-06-30,RES,0,0
39,2002-09-21,INT70,0,0
39,2003-01-13,PMT,-818.5366012,818.5366012
39,2003-03-07,INT90,0,0
39,2003-05-29,PMT,-2973.291763,2973.291763
40,2001-05-10,RPT,18113.97431,0
40,2001-06-30,RES,0,0
40,2002-06-30,RES,0,0
40,2003-04-01,INT40,0,0
40,2003-06-30,RES,0,0
40,2003-10-18,PMT,-4089.296032,4089.296032
40,2004-06-30,RES,0,0
40,2004-08-31,INT70,0,0
40,2005-06-30,RES,0,0
40,2005-07-02,PMT,-7489.198448,7489.198448
40,2005-08-12,INT90,0,0
40,2006-01-31,PMT,-6535.479825,6535.479825
41,2001-04-05,RPT,1972.264693,0
41,2001-05-29,INT40,0,0
41,2001-06-30,RES,0,0
41,2001-07-09,INT70,0,0
41,2001-08-05,INT90,0,0
41,2001-08-18,PMT,-1972.264693,1972.264693
42,2001-02-25,RPT,17611.58704,0
42,2001-06-30,RES,0,0
42,2002-06-30,RES,0,0
42,2003-06-30,RES,0,0
42,2003-11-27,INT40,0,0
42,2004-02-23,PMT,-4961.66953,4961.66953
42,2004-02-24,PMT,-1501.881274,1501.881274
42,2004-05-04,PMT,-295.9727807,295.9727807
42,2004-06-30,RES,0,0
42,2005-06-30,RES,0,0
42,2005-11-18,PMT,-4245.555053,4245.555053
42,2005-12-20,INT70,0,0
42,2006-06-30,RES,0,0
42,2007-05-07,INT90,0,0
42,2007-06-23,PMT,-1486.983074,1486.983074
42,2007-06-30,RES,0,0
42,2008-01-13,PMT,-5119.525326,5119.525326
43,2001-01-18,RPT,1000.032353,0
43,2001-06-30,RES,0,0
43,2002-06-30,RES,0,0
43,2002-08-18,INT40,0,0
43,2003-02-26,PMT,-668.0221999,668.0221999
43,2003-06-30,RES,0,0
43,2003-10-25,INT70,0,0
43,2004-06-30,RES,0,0
43,2004-08-09,INT90,0,0
43,2004-12-31,PMT,-332.0101531,332.0101531
44,2001-02-16,RPT,6627.824968,0
44,2001-06-30,RES,0,0
44,2002-06-30,RES,0,0
44,2003-04-05,PMT,-1269.296625,1269.296625
44,2003-06-30,RES,0,0
44,2003-09-16,INT40,0,0
44,2004-06-30,RES,0,0
44,2005-06-30,RES,0,0
44,2005-08-22,INT70,0,0
44,2006-06-30,RES,0,0
44,2006-10-11,PMT,-2179.649573,2179.649573
44,2006-12-06,INT90,0,0
44,2007-06-30,RES,0,0
44,2007-07-29,PMT,-3178.87877,3178.87877
45,2001-07-05,RPT,6116.707665,0
45,2002-01-02,PMT,-3736.540427,3736.540427
45,2002-06-30,RES,0,0
45,2002-12-31,INT40,0,0
45,2003-06-30,RES,0,0
45,2004-02-12,INT70,0,0
45,2004-06-30,RES,0,0
45,2004-11-10,INT90,0,0
45,2005-03-26,PMT,-2380.167238,2380.167238
46,2001-03-23,RPT,2820.088344,0
46,2001-06-30,RES,0,0
46,2001-07-06,PMT,-2360.225176,2360.225176
46,2002-06-30,RES,0,0
46,2003-06-30,RES,0,0
46,2004-06-30,RES,0,0
46,2005-06-30,RES,0,0
46,2005-12-31,INT40,0,0
46,2006-06-30,RES,0,0
46,2007-06-30,RES,0,0
46,2008-06-30,RES,0,0
46,2009-06-30,RES,0,0
46,2009-07-31,INT70,0,0
46,2010-06-30,RES,0,0
46,2011-06-30,RES,0,0
46,2011-12-20,INT90,0,0
46,2012-06-30,RES,0,0
46,2013-02-27,PMT,-459.8631685,459.8631685
47,2001-02-12,RPT,1926.036073,0
47,2001-06-30,RES,0,0
47,2002-02-01,INT40,0,0
47,2002-06-30,RES,0,0
47,2002-10-24,INT70,0,0
47,2003-04-19,INT90,0,0
47,2003-06-30,RES,0,0
47,2003-07-16,PMT,-1926.036073,1926.036073
48,2001-03-14,RPT,1566.812459,0
48,2001-06-30,RES,0,0
48,2002-04-12,INT40,0,0
48,2002-06-30,RES,0,0
48,2003-02-02,INT70,0,0
48,2003-06-30,RES,0,0
48,2003-08-18,INT90,0,0
48,2003-11-24,PMT,-1566.812459,1566.812459
49,2001-03-07,RPT,10674.96676,0
49,2001-06-30,RES,0,0
49,2002-02-17,INT40,0,0
49,2002-06-30,RES,0,0
49,2002-11-05,INT70,0,0
49,2003-04-28,INT90,0,0
49,2003-06-30,RES,0,0
49,2003-07-09,PMT,-4708.621965,4708.621965
49,2003-07-23,PMT,-5966.344791,5966.344791
50,2001-11-17,RPT,10327.92712,0
50,2002-06-30,RES,0,0
50,2003-06-30,RES,0,0
50,2003-07-13,PMT,-3407.997904,3407.997904
50,2003-11-13,PMT,-1157.002842,1157.002842
50,2003-12-05,PMT,-2463.571974,2463.571974
50,2004-06-13,PMT,-341.2800123,341.2800123
50,2004-06-30,RES,0,0
50,2004-09-17,INT40,0,0
50,2005-06-30,RES,0,0
50,2006-06-30,RES,0,0
50,2006-11-03,INT70,0,0
50,2007-06-30,RES,0,0
50,2007-09-26,PMT,-1890.176945,1890.176945
50,2008-04-03,INT90,0,0
50,2008-06-30,RES,0,0
50,2008-12-18,PMT,-1067.897444,1067.897444
51,2001-04-13,RPT,50151.6858,0
51,2001-06-30,RES,0,0
51,2001-08-20,PMT,-3055.165502,3055.165502
51,2002-06-30,RES,0,0
51,2003-06-30,RES,0,0
51,2003-07-25,PMT,-2204.23688,2204.23688
51,2004-06-30,RES,0,0
51,2005-06-30,RES,0,0
51,2006-06-30,RES,0,0
51,2006-09-29,PMT,-3337.767221,3337.767221
51,2007-06-30,RES,0,0
51,2008-06-30,RES,0,0
51,2009-06-30,RES,0,0
51,2010-06-30,RES,0,0
51,2011-06-30,RES,0,0
51,2012-06-30,RES,0,0
51,2012-07-10,INT40,0,0
51,2013-06-30,RES,0,0
51,2014-06-30,RES,0,0
51,2015-06-30,RES,0,0
51,2016-06-30,RES,0,0
51,2017-06-30,RES,0,0
51,2018-02-10,PMT,-8965.141446,8965.141446
51,2018-06-30,RES,0,0
51,2019-06-30,RES,0,0
51,2020-01-10,PMT,-30313.26763,30313.26763
51,2020-06-30,RES,0,0
51,2020-12-15,INT70,0,0
51,2021-06-30,RES,0,0
51,2022-06-30,RES,0,0
51,2023-06-30,RES,0,0
51,2024-06-30,RES,0,0
51,2025-06-30,RES,0,0
51,2026-05-19,PMT,-1559.574532,1559.574532
51,2026-06-30,RES,0,0
51,2026-07-30,INT90,0,0
51,2027-06-30,RES,0,0
51,2028-06-30,RES,0,0
51,2029-05-21,PMT,-716.5325842,716.5325842
52,2001-09-03,RPT,3770.057681,0
52,2001-09-20,INT40,0,0
52,2001-10-04,INT70,0,0
52,2001-10-12,INT90,0,0
52,2001-10-16,PMT,-3770.057681,3770.057681
53,2001-04-28,RPT,4991.190456,0
53,2001-05-04,PMT,-2138.243945,2138.243945
53,2001-06-30,RES,0,0
53,2002-01-11,PMT,-1481.363961,1481.363961
53,2002-01-22,INT40,0,0
53,2002-06-30,RES,0,0
53,2002-08-12,INT70,0,0
53,2002-12-24,INT90,0,0
53,2003-03-01,PMT,-1371.582551,1371.582551
54,2001-05-11,RPT,6653.080714,0
54,2001-06-30,RES,0,0
54,2001-11-07,INT40,0,0
54,2002-01-08,PMT,-5398.346633,5398.346633
54,2002-03-21,INT70,0,0
54,2002-06-19,INT90,0,0
54,2002-06-30,RES,0,0
54,2002-08-02,PMT,-1254.73408,1254.73408
55,2001-11-21,RPT,8549.364505,0
55,2002-06-30,RES,0,0
55,2002-08-29,INT40,0,0
55,2002-10-07,PMT,-5705.9641,5705.9641
55,2003-03-27,INT70,0,0
55,2003-06-30,RES,0,0
55,2003-08-14,INT90,0,0
55,2003-10-23,PMT,-2843.400405,2843.400405
56,2001-05-05,RPT,15004.78656,0
56,2001-06-29,PMT,-4478.741028,4478.741028
56,2001-06-30,RES,0,0
56,2001-08-20,PMT,-2916.085928,2916.085928
56,2001-08-24,INT40,0,0
56,2001-11-16,INT70,0,0
56,2002-01-11,INT90,0,0
56,2002-01-13,PMT,-1484.03904,1484.03904
56,2002-02-07,PMT,-6125.920563,6125.920563
57,2001-09-30,RPT,3229.225331,0
57,2002-05-23,PMT,-2733.045559,2733.045559
57,2002-06-30,RES,0,0
57,2002-11-25,INT40,0,0
57,2003-06-30,RES,0,0
57,2003-10-07,INT70,0,0
57,2004-05-05,INT90,0,0
57,2004-06-30,RES,0,0
57,2004-08-17,PMT,-496.1797723,496.1797723
58,2001-04-03,RPT,1830.286274,0
58,2001-06-30,RES,0,0
58,2001-10-07,INT40,0,0
58,2002-02-24,INT70,0,0
58,2002-05-29,INT90,0,0
58,2002-06-30,RES,0,0
58,2002-07-14,PMT,-1830.286274,1830.286274
59,2001-06-05,RPT,4695.036857,0
59,2001-06-30,RES,0,0
59,2001-09-26,PMT,-2701.894723,2701.894723
59,2001-10-03,INT40,0,0
59,2002-01-02,INT70,0,0
59,2002-03-03,INT90,0,0
59,2002-04-02,PMT,-1993.142133,1993.142133
60,2001-02-23,RPT,2667.283408,0
60,2001-06-30,RES,0,0
60,2002-06-30,RES,0,0
60,2002-07-09,INT40,0,0
60,2003-04-28,PMT,-1169.352898,1169.352898
60,2003-06-30,RES,0,0
60,2003-07-20,INT70,0,0
60,2004-03-27,INT90,0,0
60,2004-06-30,RES,0,0
60,2004-07-30,PMT,-1497.93051,1497.93051
61,2001-06-10,RPT,1804.432775,0
61,2001-06-30,RES,0,0
61,2001-11-28,INT40,0,0
61,2002-04-06,INT70,0,0
61,2002-06-30,RES,0,0
61,2002-07-01,INT90,0,0
61,2002-08-12,PMT,-1804.432775,1804.432775
62,2001-07-21,RPT,2612.374009,0
62,2001-10-30,INT40,0,0
62,2002-01-13,INT70,0,0
62,2002-03-04,INT90,0,0
62,2002-03-29,PMT,-2612.374009,2612.374009
63,2002-03-22,RPT,2274.330735,0
63,2002-04-01,INT40,0,0
63,2002-04-09,INT70,0,0
63,2002-04-15,INT90,0,0
63,2002-04-17,PMT,-2274.330735,2274.330735
64,2001-08-31,RPT,6134.11658,0
64,2002-06-30,RES,0,0
64,2003-06-30,RES,0,0
64,2003-11-28,INT40,0,0
64,2004-06-30,RES,0,0
64,2005-04-30,PMT,-4767.290315,4767.290315
64,2005-06-30,RES,0,0
64,2005-08-04,INT70,0,0
64,2006-06-30,RES,0,0
64,2006-09-17,INT90,0,0
64,2007-04-09,PMT,-1366.826265,1366.826265
65,2001-03-31,RPT,72701.55335,0
65,2001-06-30,RES,0,0
65,2001-07-13,PMT,-3095.602888,3095.602888
65,2002-03-14,PMT,-1059.676312,1059.676312
65,2002-06-30,RES,0,0
65,2002-10-16,PMT,-4674.596447,4674.596447
65,2003-06-30,RES,0,0
65,2004-03-09,PMT,-2312.101555,2312.101555
65,2004-06-30,RES,0,0
65,2005-06-30,RES,0,0
65,2006-04-29,PMT,-4608.549134,4608.549134
65,2006-06-30,RES,0,0
65,2007-03-13,PMT,-1913.647374,1913.647374
65,2007-06-30,RES,0,0
65,2007-07-31,PMT,-4666.320243,4666.320243
65,2008-06-30,RES,0,0
65,2009-06-30,RES,0,0
65,2010-06-30,RES,0,0
65,2011-01-30,PMT,-1371.344848,1371.344848
65,2011-06-30,RES,0,0
65,2012-06-30,RES,0,0
65,2012-11-06,PMT,-4213.647845,4213.647845
65,2013-01-01,INT40,0,0
65,2013-06-30,RES,0,0
65,2014-06-30,RES,0,0
65,2015-06-30,RES,0,0
65,2016-04-12,PMT,-15456.97988,15456.97988
65,2016-06-30,RES,0,0
65,2017-06-30,RES,0,0
65,2018-06-09,PMT,-3483.506234,3483.506234
65,2018-06-30,RES,0,0
65,2019-06-30,RES,0,0
65,2020-06-30,RES,0,0
65,2021-06-30,RES,0,0
65,2021-10-26,INT70,0,0
65,2022-06-30,RES,0,0
65,2023-06-30,RES,0,0
65,2024-06-30,RES,0,0
65,2025-06-30,RES,0,0
65,2026-06-14,PMT,-885.1516311,885.1516311
65,2026-06-20,PMT,-4239.945862,4239.945862
65,2026-06-30,RES,0,0
65,2026-09-14,PMT,-6602.193343,6602.193343
65,2027-03-10,PMT,-4993.19371,4993.19371
65,2027-06-30,RES,0,0
65,2027-09-12,INT90,0,0
65,2028-06-30,RES,0,0
65,2029-01-26,PMT,-656.7131597,656.7131597
65,2029-06-30,RES,0,0
65,2029-09-22,PMT,-5255.261543,5255.261543
65,2030-06-23,PMT,-1827.976681,1827.976681
