ClaimNo,ClaimMadeBusiness,AccidentDate,ReportDate,Covariate,Line,Type,TotalLoss,ClaimLiability,Limit,Deductible,TotalPayment,ClaimStatus,PaymentDate,CloseDate
57,FALSE,2001-02-03,2001-09-30,NA,GEN,LB,3229.225331,TRUE,1.00E+07,0,3229.225331,CLOSED,,2004-08-17
58,FALSE,2001-02-17,2001-04-03,NA,GEN,LB,1830.286274,TRUE,1.00E+07,0,1830.286274,CLOSED,,2002-07-14
59,FALSE,2001-02-23,2001-06-05,NA,GEN,LB,4695.036857,TRUE,1.00E+07,0,4695.036857,CLOSED,,2002-04-02
60,FALSE,2001-02-18,2001-02-23,NA,GEN,LB,2667.283408,TRUE,1.00E+07,0,2667.283408,CLOSED,,2004-07-30
61,FALSE,2001-02-19,2001-06-10,NA,GEN,LB,1804.432775,TRUE,1.00E+07,0,1804.432775,CLOSED,,2002-08-12
62,FALSE,2001-02-16,2001-07-21,NA,GEN,LB,2612.374009,TRUE,1.00E+07,0,2612.374009,CLOSED,,2002-03-29
63,FALSE,2001-02-05,2002-03-22,NA,GEN,LB,2274.330735,TRUE,1.00E+07,0,2274.330735,CLOSED,,2002-04-17
64,FALSE,2001-02-06,2001-08-31,NA,GEN,LB,6134.11658,TRUE,1.00E+07,0,6134.11658,CLOSED,,2007-04-09
65,FALSE,2001-02-17,2001-03-31,NA,GEN,LB,72701.55335,TRUE,1.00E+07,0,72701.55335,CLOSED,,2030-08-20
66,FALSE,2001-02-09,2001-03-26,NA,GEN,LB,462.4325457,TRUE,1.00E+07,0,462.4325457,CLOSED,,2004-01-24
67,FALSE,2001-02-08,2001-05-05,NA,GEN,LB,4119.218138,TRUE,1.00E+07,0,4119.218138,CLOSED,,2001-07-16
68,FALSE,2001-02-15,2001-06-25,NA,GEN,LB,8135.594527,TRUE,1.00E+07,0,8135.594527,CLOSED,,2004-12-16
69,FALSE,2001-02-20,2001-06-04,NA,GEN,LB,24349.06881,TRUE,1.00E+07,0,24349.06881,CLOSED,,2006-09-18
70,FALSE,2001-02-12,2001-02-25,NA,GEN,LB,4934.659904,TRUE,1.00E+07,0,4934.659904,CLOSED,,2002-02-20
71,FALSE,2001-02-24,2001-08-21,NA,GEN,LB,2699.55604,TRUE,1.00E+07,0,2699.55604,CLOSED,,2001-09-02
72,FALSE,2001-02-04,2002-09-20,NA,GEN,LB,735.1979248,TRUE,1.00E+07,0,735.1979248,CLOSED,,2004-10-10
73,FALSE,2001-02-18,2001-12-27,NA,GEN,LB,2241.55072,TRUE,1.00E+07,0,2241.55072,CLOSED,,2003-03-07
74,FALSE,2001-02-13,2001-05-08,NA,GEN,LB,24446.1614,TRUE,1.00E+07,0,24446.1614,CLOSED,,2014-07-26
75,FALSE,2001-02-22,2001-07-16,NA,GEN,LB,1744.666325,TRUE,1.00E+07,0,1744.666325,CLOSED,,2002-04-24
76,FALSE,2001-02-01,2001-06-06,NA,GEN,LB,3302.973049,TRUE,1.00E+07,0,3302.973049,CLOSED,,2007-06-22
77,FALSE,2001-02-03,2001-05-25,NA,GEN,LB,9414.2145,TRUE,1.00E+07,0,9414.2145,CLOSED,,2011-01-25
78,FALSE,2001-02-18,2001-02-26,NA,GEN,LB,2860.993677,TRUE,1.00E+07,0,2860.993677,CLOSED,,2001-09-27
79,FALSE,2001-02-12,2001-09-22,NA,GEN,LB,856.5160092,TRUE,1.00E+07,0,856.5160092,CLOSED,,2008-02-09
80,FALSE,2001-02-25,2001-05-10,NA,GEN,LB,1677.230803,TRUE,1.00E+07,0,1677.230803,CLOSED,,2002-01-22
81,FALSE,2001-02-25,2001-04-26,NA,GEN,LB,17480.99331,TRUE,1.00E+07,0,17480.99331,CLOSED,,2012-06-21
82,FALSE,2001-02-13,2001-03-01,NA,GEN,LB,5148.666891,TRUE,1.00E+07,0,5148.666891,CLOSED,,2004-11-19
83,FALSE,2001-02-03,2001-07-22,NA,GEN,LB,17768.0944,TRUE,1.00E+07,0,17768.0944,CLOSED,,2003-11-02
84,FALSE,2001-02-20,2001-02-27,NA,GEN,LB,19940.2991,TRUE,1.00E+07,0,19940.2991,CLOSED,,2007-04-27
85,FALSE,2001-02-25,2001-04-30,NA,GEN,LB,3557.729176,TRUE,1.00E+07,0,3557.729176,CLOSED,,2001-11-07
86,FALSE,2001-02-17,2001-02-18,NA,GEN,LB,17961.18591,TRUE,1.00E+07,0,17961.18591,CLOSED,,2010-12-31
87,FALSE,2001-02-13,2001-06-10,NA,GEN,LB,12777.80613,TRUE,1.00E+07,0,12777.80613,CLOSED,,2013-08-21
88,FALSE,2001-02-07,2001-06-09,NA,GEN,LB,7218.462973,TRUE,1.00E+07,0,7218.462973,CLOSED,,2005-12-30
89,FALSE,2001-02-18,2001-05-29,NA,GEN,LB,2987.270397,TRUE,1.00E+07,0,2987.270397,CLOSED,,2004-05-23
90,FALSE,2001-02-26,2001-05-02,NA,GEN,LB,75.7628813,TRUE,1.00E+07,0,75.7628813,CLOSED,,2004-03-20
91,FALSE,2001-02-06,2001-03-25,NA,GEN,LB,2806.903931,TRUE,1.00E+07,0,2806.903931,CLOSED,,2002-03-30
92,FALSE,2001-03-24,2001-03-27,NA,GEN,LB,17458.51644,TRUE,1.00E+07,0,17458.51644,CLOSED,,2005-05-21
93,FALSE,2001-03-28,2001-05-10,NA,GEN,LB,1360.547616,TRUE,1.00E+07,0,1360.547616,CLOSED,,2003-04-09
94,FALSE,2001-03-05,2001-08-03,NA,GEN,LB,2681.736472,TRUE,1.00E+07,0,2681.736472,CLOSED,,2001-11-09
95,FALSE,2001-03-25,2001-06-04,NA,GEN,LB,2122.329727,TRUE,1.00E+07,0,2122.329727,CLOSED,,2002-05-06
96,FALSE,2001-03-23,2001-03-26,NA,GEN,LB,7867.164735,TRUE,1.00E+07,0,7867.164735,CLOSED,,2003-09-19
97,FALSE,2001-03-06,2001-08-02,NA,GEN,LB,2248.687259,TRUE,1.00E+07,0,2248.687259,CLOSED,,2009-08-07
98,FALSE,2001-03-08,2001-05-12,NA,GEN,LB,24920.01237,TRUE,1.00E+07,0,24920.01237,CLOSED,,2005-12-31
99,FALSE,2001-03-09,2001-09-10,NA,GEN,LB,8293.863066,TRUE,1.00E+07,0,8293.863066,CLOSED,,2005-03-06
100,FALSE,2001-03-22,2001-04-29,NA,GEN,LB,9294.507978,TRUE,1.00E+07,0,9294.507978,CLOSED,,2011-01-04
101,FALSE,2001-03-01,2001-04-14,NA,GEN,LB,11893.4966,TRUE,1.00E+07,0,11893.4966,CLOSED,,2005-04-23
102,FALSE,2001-03-22,2001-04-12,NA,GEN,LB,4088.761138,TRUE,1.00E+07,0,4088.761138,CLOSED,,2003-01-11
103,FALSE,2001-03-13,2001-03-14,NA,GEN,LB,12594.36878,TRUE,1.00E+07,0,12594.36878,CLOSED,,2003-09-21
104,FALSE,2001-03-13,2001-06-03,NA,GEN,LB,17353.33912,TRUE,1.00E+07,0,17353.33912,CLOSED,,2010-08-13
105,FALSE,2001-03-23,2001-04-15,NA,GEN,LB,4644.747539,TRUE,1.00E+07,0,4644.747539,CLOSED,,2007-02-24
106,FALSE,2001-03-18,2001-03-21,NA,GEN,LB,2918.550574,TRUE,1.00E+07,0,2918.550574,CLOSED,,2002-08-19
107,FALSE,2001-03-09,2001-04-30,NA,GEN,LB,8010.051704,TRUE,1.00E+07,0,8010.051704,CLOSED,,2002-10-21
108,FALSE,2001-03-19,2001-05-06,NA,GEN,LB,4762.568463,TRUE,1.00E+07,0,4762.568463,CLOSED,,2003-03-21
109,FALSE,2001-03-11,2001-07-18,NA,GEN,LB,752.7894091,TRUE,1.00E+07,0,752.7894091,CLOSED,,2002-10-10
110,FALSE,2001-03-26,2001-07-13,NA,GEN,LB,1169.230787,TRUE,1.00E+07,0,1169.230787,CLOSED,,2002-01-18
111,FALSE,2001-03-13,2001-03-31,NA,GEN,LB,26366.79809,TRUE,1.00E+07,0,26366.79809,CLOSED,,2004-10-17
112,FALSE,2001-03-17,2001-06-03,NA,GEN,LB,1470.866898,TRUE,1.00E+07,0,1470.866898,CLOSED,,2002-07-20
113,FALSE,2001-03-14,2001-07-11,NA,GEN,LB,6915.349562,TRUE,1.00E+07,0,6915.349562,CLOSED,,2003-01-23
114,FALSE,2001-03-01,2001-04-16,NA,GEN,LB,11580.51893,TRUE,1.00E+07,0,11580.51893,CLOSED,,2012-01-22
115,FALSE,2001-03-10,2001-03-11,NA,GEN,LB,3140.862987,TRUE,1.00E+07,0,3140.862987,CLOSED,,2005-03-23
116,FALSE,2001-03-03,2001-06-16,NA,GEN,LB,30228.05732,TRUE,1.00E+07,0,30228.05732,CLOSED,,2009-11-16
117,FALSE,2001-03-13,2001-07-26,NA,GEN,LB,1322.107752,TRUE,1.00E+07,0,1322.107752,CLOSED,,2006-07-22
118,FALSE,2001-03-12,2001-04-26,NA,GEN,LB,1384.426563,TRUE,1.00E+07,0,1384.426563,CLOSED,,2003-09-15
119,FALSE,2001-03-20,2001-07-17,NA,GEN,LB,10199.66234,TRUE,1.00E+07,0,10199.66234,CLOSED,,2008-04-17
120,FALSE,2001-03-25,2001-04-02,NA,GEN,LB,1524.960709,TRUE,1.00E+07,0,1524.960709,CLOSED,,2003-04-26
121,FALSE,2001-03-22,2001-08-15,NA,GEN,LB,23158.98475,TRUE,1.00E+07,0,23158.98475,CLOSED,,2029-03-15
122,FALSE,2001-03-02,2001-04-22,NA,GEN,LB,11317.58027,TRUE,1.00E+07,0,11317.58027,CLOSED,,2005-03-30
123,FALSE,2001-03-01,2001-03-12,NA,GEN,LB,14795.62634,TRUE,1.00E+07,0,14795.62634,CLOSED,,2003-06-23
124,FALSE,2001-03-02,2001-12-12,NA,GEN,LB,5329.23827,TRUE,1.00E+07,0,5329.23827,CLOSED,,2003-12-31
125,FALSE,2001-03-16,2001-04-03,NA,GEN,LB,52846.96724,TRUE,1.00E+07,0,52846.96724,CLOSED,,2025-03-18
126,FALSE,2001-03-07,2001-05-22,NA,GEN,LB,8316.446808,TRUE,1.00E+07,0,8316.446808,CLOSED,,2007-10-26
127,FALSE,2001-03-16,2001-04-16,NA,GEN,LB,6461.972115,TRUE,1.00E+07,0,6461.972115,CLOSED,,2005-07-02
128,FALSE,2001-03-04,2001-05-20,NA,GEN,LB,7751.870906,TRUE,1.00E+07,0,7751.870906,CLOSED,,2003-07-11
129,FALSE,2001-03-26,2001-06-30,NA,GEN,LB,10545.01658,TRUE,1.00E+07,0,10545.01658,CLOSED,,2004-06-06
130,FALSE,2001-03-18,2001-04-27,NA,GEN,LB,3486.619529,TRUE,1.00E+07,0,3486.619529,CLOSED,,2002-06-20
131,FALSE,2001-03-10,2001-04-16,NA,GEN,LB,19080.81579,TRUE,1.00E+07,0,19080.81579,CLOSED,,2008-05-08
132,FALSE,2001-03-29,2001-04-24,NA,GEN,LB,3217.531304,TRUE,1.00E+07,0,3217.531304,CLOSED,,2001-08-24
133,FALSE,2001-03-02,2001-06-12,NA,GEN,LB,588.9834844,TRUE,1.00E+07,0,588.9834844,CLOSED,,2002-09-24
134,FALSE,2001-04-28,2001-07-19,NA,GEN,LB,6267.045325,TRUE,1.00E+07,0,6267.045325,CLOSED,,2004-04-16
135,FALSE,2001-04-12,2001-07-22,NA,GEN,LB,23405.17242,TRUE,1.00E+07,0,23405.17242,CLOSED,,2012-06-01
136,FALSE,2001-04-13,2001-04-16,NA,GEN,LB,12557.41807,TRUE,1.00E+07,0,12557.41807,CLOSED,,2004-05-17
137,FALSE,2001-04-29,2001-06-15,NA,GEN,LB,4058.061459,TRUE,1.00E+07,0,4058.061459,CLOSED,,2004-06-04
138,FALSE,2001-04-10,2001-04-12,NA,GEN,LB,12768.91257,TRUE,1.00E+07,0,12768.91257,CLOSED,,2005-02-16
139,FALSE,2001-04-23,2001-09-08,NA,GEN,LB,19581.78325,TRUE,1.00E+07,0,19581.78325,CLOSED,,2006-08-26
140,FALSE,2001-04-26,2001-09-18,NA,GEN,LB,7339.427214,TRUE,1.00E+07,0,7339.427214,CLOSED,,2002-05-05
141,FALSE,2001-04-07,2001-04-14,NA,GEN,LB,24340.21134,TRUE,1.00E+07,0,24340.21134,CLOSED,,2011-10-16
142,FALSE,2001-04-05,2001-05-15,NA,GEN,LB,998.9564544,TRUE,1.00E+07,0,998.9564544,CLOSED,,2004-04-01
143,FALSE,2001-04-07,2001-07-10,NA,GEN,LB,1232.108497,TRUE,1.00E+07,0,1232.108497,CLOSED,,2003-08-23
144,FALSE,2001-04-06,2001-05-15,NA,GEN,LB,3057.486434,TRUE,1.00E+07,0,3057.486434,CLOSED,,2001-08-13
145,FALSE,2001-04-10,2001-05-08,NA,GEN,LB,3023.886583,TRUE,1.00E+07,0,3023.886583,CLOSED,,2001-07-18
146,FALSE,2001-04-12,2001-05-20,NA,GEN,LB,7857.496225,TRUE,1.00E+07,0,7857.496225,CLOSED,,2002-09-29
147,FALSE,2001-04-20,2001-05-09,NA,GEN,LB,4107.775323,TRUE,1.00E+07,0,4107.775323,CLOSED,,2005-07-02
148,FALSE,2001-04-06,2001-04-07,NA,GEN,LB,6817.749474,TRUE,1.00E+07,0,6817.749474,CLOSED,,2003-07-13
149,FALSE,2001-04-19,2001-06-04,NA,GEN,LB,5799.77973,TRUE,1.00E+07,0,5799.77973,CLOSED,,2003-05-22
150,FALSE,2001-04-29,2001-08-07,NA,GEN,LB,7128.915188,TRUE,1.00E+07,0,7128.915188,CLOSED,,2007-06-20
151,FALSE,2001-04-13,2001-05-26,NA,GEN,LB,19507.90481,TRUE,1.00E+07,0,19507.90481,CLOSED,,2004-05-28
152,FALSE,2001-04-29,2001-05-21,NA,GEN,LB,2871.688375,TRUE,1.00E+07,0,2871.688375,CLOSED,,2004-09-21
153,FALSE,2001-04-29,2001-06-07,NA,GEN,LB,11759.5836,TRUE,1.00E+07,0,11759.5836,CLOSED,,2020-06-18
154,FALSE,2001-04-16,2001-04-26,NA,GEN,LB,24575.69238,TRUE,1.00E+07,0,24575.69238,CLOSED,,2007-02-13
155,FALSE,2001-04-27,2001-05-06,NA,GEN,LB,25541.24022,TRUE,1.00E+07,0,25541.24022,CLOSED,,2011-06-18
156,FALSE,2001-04-28,2001-04-29,NA,GEN,LB,6187.194512,TRUE,1.00E+07,0,6187.194512,CLOSED,,2003-03-20
157,FALSE,2001-04-11,2001-04-18,NA,GEN,LB,10442.71642,TRUE,1.00E+07,0,10442.71642,CLOSED,,2005-03-06
158,FALSE,2001-04-09,2002-02-13,NA,GEN,LB,10019.34961,TRUE,1.00E+07,0,10019.34961,CLOSED,,2002-08-30
159,FALSE,2001-04-03,2001-06-28,NA,GEN,LB,6366.163842,TRUE,1.00E+07,0,6366.163842,CLOSED,,2005-10-25
160,FALSE,2001-04-13,2001-06-04,NA,GEN,LB,11337.49873,TRUE,1.00E+07,0,11337.49873,CLOSED,,2009-11-16
161,FALSE,2001-04-04,2001-08-15,NA,GEN,LB,591.9021251,TRUE,1.00E+07,0,591.9021251,CLOSED,,2004-11-27
162,FALSE,2001-04-08,2001-10-14,NA,GEN,LB,2457.357895,TRUE,1.00E+07,0,2457.357895,CLOSED,,2002-05-04
163,FALSE,2001-04-28,2001-06-18,NA,GEN,LB,20374.60276,TRUE,1.00E+07,0,20374.60276,CLOSED,,2004-06-19
164,FALSE,2001-04-20,2001-07-14,NA,GEN,LB,14493.91826,TRUE,1.00E+07,0,14493.91826,CLOSED,,2004-06-04
165,FALSE,2001-05-22,2001-08-05,NA,GEN,LB,26417.65268,TRUE,1.00E+07,0,26417.65268,CLOSED,,2009-06-19
166,FALSE,2001-05-29,2001-07-10,NA,GEN,LB,19727.88313,TRUE,1.00E+07,0,19727.88313,CLOSED,,2025-05-11
167,FALSE,2001-05-29,2002-08-20,NA,GEN,LB,3049.989439,TRUE,1.00E+07,0,3049.989439,CLOSED,,2003-01-25
168,FALSE,2001-05-12,2002-05-26,NA,GEN,LB,12514.86031,TRUE,1.00E+07,0,12514.86031,CLOSED,,2007-07-27
169,FALSE,2001-05-22,2002-05-10,NA,GEN,LB,21508.83153,TRUE,1.00E+07,0,21508.83153,CLOSED,,2011-01-26
170,FALSE,2001-05-11,2001-07-11,NA,GEN,LB,13162.9638,TRUE,1.00E+07,0,13162.9638,CLOSED,,2018-10-31
171,FALSE,2001-05-16,2002-03-07,NA,GEN,LB,16929.72505,TRUE,1.00E+07,0,16929.72505,CLOSED,,2015-06-15
172,FALSE,2001-05-06,2001-07-14,NA,GEN,LB,15941.67447,TRUE,1.00E+07,0,15941.67447,CLOSED,,2006-10-14
173,FALSE,2001-05-10,2001-07-27,NA,GEN,LB,2308.520036,TRUE,1.00E+07,0,2308.520036,CLOSED,,2001-11-05
174,FALSE,2001-05-19,2002-05-15,NA,GEN,LB,2031.312001,TRUE,1.00E+07,0,2031.312001,CLOSED,,2005-12-30
175,FALSE,2001-05-22,2001-09-09,NA,GEN,LB,3329.535638,TRUE,1.00E+07,0,3329.535638,CLOSED,,2004-06-12
176,FALSE,2001-05-16,2001-05-17,NA,GEN,LB,2405.158889,TRUE,1.00E+07,0,2405.158889,CLOSED,,2003-12-12
177,FALSE,2001-05-14,2001-05-16,NA,GEN,LB,4696.81846,TRUE,1.00E+07,0,4696.81846,CLOSED,,2002-06-29
178,FALSE,2001-05-11,2001-09-23,NA,GEN,LB,6314.667518,TRUE,1.00E+07,0,6314.667518,CLOSED,,2006-01-30
179,FALSE,2001-05-17,2001-09-14,NA,GEN,LB,3090.666275,TRUE,1.00E+07,0,3090.666275,CLOSED,,2002-07-27
180,FALSE,2001-05-18,2002-01-03,NA,GEN,LB,3427.760803,TRUE,1.00E+07,0,3427.760803,CLOSED,,2003-07-07
181,FALSE,2001-05-03,2001-06-16,NA,GEN,LB,11721.13383,TRUE,1.00E+07,0,11721.13383,CLOSED,,2003-06-05
182,FALSE,2001-05-22,2001-05-23,NA,GEN,LB,40620.68985,TRUE,1.00E+07,0,40620.68985,CLOSED,,2009-05-28
183,FALSE,2001-05-12,2001-05-25,NA,GEN,LB,4437.823353,TRUE,1.00E+07,0,4437.823353,CLOSED,,2004-02-01
184,FALSE,2001-05-03,2001-07-27,NA,GEN,LB,2889.573999,TRUE,1.00E+07,0,2889.573999,CLOSED,,2001-09-13
185,FALSE,2001-05-17,2001-06-18,NA,GEN,LB,7970.405874,TRUE,1.00E+07,0,7970.405874,CLOSED,,2008-06-11
186,FALSE,2001-05-09,2001-09-23,NA,GEN,LB,1993.591409,TRUE,1.00E+07,0,1993.591409,CLOSED,,2002-06-24
187,FALSE,2001-05-26,2001-06-24,NA,GEN,LB,10135.99455,TRUE,1.00E+07,0,10135.99455,CLOSED,,2004-04-13
188,FALSE,2001-05-18,2001-05-21,NA,GEN,LB,8774.583999,TRUE,1.00E+07,0,8774.583999,CLOSED,,2003-02-25
189,FALSE,2001-05-28,2001-09-09,NA,GEN,LB,2501.516217,TRUE,1.00E+07,0,2501.516217,CLOSED,,2001-09-29
190,FALSE,2001-05-29,2001-07-10,NA,GEN,LB,9544.455556,TRUE,1.00E+07,0,9544.455556,CLOSED,,2009-02-22
191,FALSE,2001-05-12,2001-12-06,NA,GEN,LB,16400.24605,TRUE,1.00E+07,0,16400.24605,CLOSED,,2010-08-17
192,FALSE,2001-05-05,2001-05-26,NA,GEN,LB,6644.50417,TRUE,1.00E+07,0,6644.50417,CLOSED,,2004-03-04
193,FALSE,2001-05-22,2002-01-27,NA,GEN,LB,14880.509,TRUE,1.00E+07,0,14880.509,CLOSED,,2009-02-27
194,FALSE,2001-05-08,2001-05-11,NA,GEN,LB,10079.14504,TRUE,1.00E+07,0,10079.14504,CLOSED,,2009-11-04
