SimulationNo,OccurrenceNo,ClaimNo,ClaimMadeBusiness,Converted,AccidentDate,ReportDate,Covariate,Line,Type,TotalLoss,ClaimLiability,Limit,Deductible,TotalPayment,PaymentDate,CloseDate
1,   11,   11,FALSE,NA,2001-01-14,2001-05-16,NA,Line 1,Type 1,3913.18412119817,TRUE,1e+07,0,3913.18412119817,2001-08-20,2001-08-20
1,   12,   12,FALSE,NA,2001-01-14,2001-12-04,NA,Line 1,Type 1,5814.79897597526,TRUE,1e+07,0,5814.79897597526,2003-12-27,2003-12-27
1,   13,   13,FALSE,NA,2001-01-15,2002-05-04,NA,Line 1,Type 1,3827.82874712577,TRUE,1e+07,0,3827.82874712577,2004-06-19,2004-06-19
1,   14,   14,FALSE,NA,2001-01-27,2001-04-11,NA,Line 1,Type 1,3827.54267612659,TRUE,1e+07,0,3827.54267612659,2001-05-25,2001-05-25
1,   15,   15,FALSE,NA,2001-01-24,2001-03-20,NA,Line 1,Type 1,5411.10536367597,TRUE,1e+07,0,5411.10536367597,2002-11-30,2002-11-30
1,   16,   16,FALSE,NA,2001-01-21,2001-08-16,NA,Line 1,Type 1,6106.53861105327,TRUE,1e+07,0,6106.53861105327,2004-01-27,2004-01-27
1,   17,   17,FALSE,NA,2001-01-21,2002-05-03,NA,Line 1,Type 1,4393.89996062128,TRUE,1e+07,0,4393.89996062128,2004-03-25,2004-03-25
1,   18,   18,FALSE,NA,2001-01-13,2001-02-03,NA,Line 1,Type 1,5846.44879818178,TRUE,1e+07,0,5846.44879818178,2005-01-30,2005-01-30
1,   19,   19,FALSE,NA,2001-01-04,2001-01-21,NA,Line 1,Type 1,5439.69449653924,TRUE,1e+07,0,5439.69449653924,2004-08-29,2004-08-29
1,   20,   20,FALSE,NA,2001-01-17,2001-01-28,NA,Line 1,Type 1,4457.15337292134,TRUE,1e+07,0,4457.15337292134,2001-02-16,2001-02-16
1,   21,   21,FALSE,NA,2001-01-11,2001-02-12,NA,Line 1,Type 1,6003.45923553127,TRUE,1e+07,0,6003.45923553127,2001-03-18,2001-03-18
1,   22,   22,FALSE,NA,2001-01-08,2001-02-13,NA,Line 1,Type 1,4739.83880263561,TRUE,1e+07,0,4739.83880263561,2002-01-02,2002-01-02
1,   23,   23,FALSE,NA,2001-01-25,2003-09-26,NA,Line 1,Type 1,3371.55022247837,TRUE,1e+07,0,3371.55022247837,2006-12-08,2006-12-08
1,   24,   24,FALSE,NA,2001-01-16,2001-08-06,NA,Line 1,Type 1,4777.25575081097,TRUE,1e+07,0,4777.25575081097,2006-01-09,2006-01-09
1,   25,   25,FALSE,NA,2001-01-17,2001-05-26,NA,Line 1,Type 1,3879.58676586358,TRUE,1e+07,0,3879.58676586358,2006-03-12,2006-03-12
1,   26,   26,FALSE,NA,2001-01-13,2003-06-10,NA,Line 1,Type 1,5005.33971670687,TRUE,1e+07,0,5005.33971670687,2006-04-20,2006-04-20
1,   27,   27,FALSE,NA,2001-01-18,2002-12-03,NA,Line 1,Type 1,6045.00014127238,TRUE,1e+07,0,6045.00014127238,2003-11-20,2003-11-20
1,   28,   28,FALSE,NA,2001-01-24,2001-05-03,NA,Line 1,Type 1,6236.93872153432,TRUE,1e+07,0,6236.93872153432,2003-02-20,2003-02-20
1,   29,   29,FALSE,NA,2001-01-19,2001-06-01,NA,Line 1,Type 1,5159.03777258873,TRUE,1e+07,0,5159.03777258873,2004-01-06,2004-01-06
1,   30,   30,FALSE,NA,2001-01-27,2001-02-04,NA,Line 1,Type 1,5707.90404867492,TRUE,1e+07,0,5707.90404867492,2001-06-28,2001-06-28
1,   31,   31,FALSE,NA,2001-01-14,2002-01-06,NA,Line 1,Type 1,5081.67020191794,TRUE,1e+07,0,5081.67020191794,2002-09-02,2002-09-02
1,   32,   32,FALSE,NA,2001-01-02,2001-01-25,NA,Line 1,Type 1,2276.46490888818,TRUE,1e+07,0,2276.46490888818,2001-11-28,2001-11-28
1,   33,   33,FALSE,NA,2001-01-30,2001-03-14,NA,Line 1,Type 1,5732.16624230589,TRUE,1e+07,0,5732.16624230589,2002-12-04,2002-12-04
1,   34,   34,FALSE,NA,2001-01-12,2001-06-13,NA,Line 1,Type 1,5659.33985654713,TRUE,1e+07,0,5659.33985654713,2006-12-12,2006-12-12
1,   35,   35,FALSE,NA,2001-01-26,2001-05-02,NA,Line 1,Type 1,4059.81876967295,TRUE,1e+07,0,4059.81876967295,2006-05-13,2006-05-13
1,   36,   36,FALSE,NA,2001-01-17,2001-10-24,NA,Line 1,Type 1,5600.85935605747,TRUE,1e+07,0,5600.85935605747,2011-07-04,2011-07-04
1,   37,   37,FALSE,NA,2001-01-06,2001-03-30,NA,Line 1,Type 1,4063.05550594877,TRUE,1e+07,0,4063.05550594877,2010-01-05,2010-01-05
1,   38,   38,FALSE,NA,2001-01-28,2001-05-11,NA,Line 1,Type 1,3346.77331009024,TRUE,1e+07,0,3346.77331009024,2001-10-05,2001-10-05
1,   39,   39,FALSE,NA,2001-01-10,2001-12-25,NA,Line 1,Type 1,4716.76698103262,TRUE,1e+07,0,4716.76698103262,2006-01-17,2006-01-17
1,   40,   40,FALSE,NA,2001-01-26,2001-10-12,NA,Line 1,Type 1,3327.94855445684,TRUE,1e+07,0,3327.94855445684,2005-11-07,2005-11-07
1,   41,   41,FALSE,NA,2001-01-15,2001-07-17,NA,Line 1,Type 1,4997.16622502784,TRUE,1e+07,0,4997.16622502784,2005-09-27,2005-09-27
1,   42,   42,FALSE,NA,2001-01-13,2002-03-20,NA,Line 1,Type 1,6184.84195690894,TRUE,1e+07,0,6184.84195690894,2002-11-10,2002-11-10
1,   43,   43,FALSE,NA,2001-01-07,2001-05-08,NA,Line 1,Type 1,4043.73032884117,TRUE,1e+07,0,4043.73032884117,2004-06-26,2004-06-26
1,   44,   44,FALSE,NA,2001-01-21,2001-04-05,NA,Line 1,Type 1,5524.86286633928,TRUE,1e+07,0,5524.86286633928,2003-07-05,2003-07-05
1,   45,   45,FALSE,NA,2001-01-10,2001-04-15,NA,Line 1,Type 1,4892.37414976156,TRUE,1e+07,0,4892.37414976156,2024-06-10,2024-06-10
1,   46,   46,FALSE,NA,2001-01-16,2001-03-03,NA,Line 1,Type 1,4060.46220733605,TRUE,1e+07,0,4060.46220733605,2001-05-12,2001-05-12
1,   47,   47,FALSE,NA,2001-01-11,2001-03-05,NA,Line 1,Type 1,4570.27777889803,TRUE,1e+07,0,4570.27777889803,2004-01-17,2004-01-17
1,   48,   48,FALSE,NA,2001-01-11,2001-05-20,NA,Line 1,Type 1,5257.87217403858,TRUE,1e+07,0,5257.87217403858,2009-08-17,2009-08-17
1,   49,   49,FALSE,NA,2001-01-13,2002-08-15,NA,Line 1,Type 1,4370.54267845234,TRUE,1e+07,0,4370.54267845234,2011-05-08,2011-05-08
1,   50,   50,FALSE,NA,2001-01-28,2001-03-10,NA,Line 1,Type 1,5514.67784557942,TRUE,1e+07,0,5514.67784557942,2002-09-01,2002-09-01
1,   51,   51,FALSE,NA,2001-01-26,2001-08-05,NA,Line 1,Type 1,6128.95849701734,TRUE,1e+07,0,6128.95849701734,2001-08-24,2001-08-24
1,   52,   52,FALSE,NA,2001-01-19,2001-02-25,NA,Line 1,Type 1,5966.85465842381,TRUE,1e+07,0,5966.85465842381,2001-05-16,2001-05-16
1,   53,   53,FALSE,NA,2001-01-08,2001-03-22,NA,Line 1,Type 1,6699.36342563251,TRUE,1e+07,0,6699.36342563251,2010-06-09,2010-06-09
1,   54,   54,FALSE,NA,2001-01-16,2001-06-18,NA,Line 1,Type 1,5902.14260867346,TRUE,1e+07,0,5902.14260867346,2005-04-10,2005-04-10
1,   55,   55,FALSE,NA,2001-01-03,2002-03-08,NA,Line 1,Type 1,4253.76867109822,TRUE,1e+07,0,4253.76867109822,2005-04-17,2005-04-17
1,   56,   56,FALSE,NA,2001-01-20,2001-10-31,NA,Line 1,Type 1,5998.92664848044,TRUE,1e+07,0,5998.92664848044,2010-02-06,2010-02-06
1,   57,   57,FALSE,NA,2001-01-03,2001-01-24,NA,Line 1,Type 1,4196.23338754617,TRUE,1e+07,0,4196.23338754617,2001-06-09,2001-06-09
1,   58,   58,FALSE,NA,2001-01-19,2001-04-07,NA,Line 1,Type 1,5222.20292324835,TRUE,1e+07,0,5222.20292324835,2004-10-24,2004-10-24
1,   59,   59,FALSE,NA,2001-01-26,2001-05-19,NA,Line 1,Type 1,6206.11690369712,TRUE,1e+07,0,6206.11690369712,2001-10-09,2001-10-09
1,   60,   60,FALSE,NA,2001-01-20,2001-03-29,NA,Line 1,Type 1,5045.24199463727,TRUE,1e+07,0,5045.24199463727,2002-11-21,2002-11-21
1,   61,   61,FALSE,NA,2001-01-21,2001-09-25,NA,Line 1,Type 1,5040.45707992092,TRUE,1e+07,0,5040.45707992092,2003-12-27,2003-12-27
1,   62,   62,FALSE,NA,2001-01-17,2001-03-06,NA,Line 1,Type 1,4569.52813212357,TRUE,1e+07,0,4569.52813212357,2002-01-05,2002-01-05
1,   63,   63,FALSE,NA,2001-01-06,2001-02-08,NA,Line 1,Type 1,6706.57451294771,TRUE,1e+07,0,6706.57451294771,2004-06-16,2004-06-16
1,   64,   64,FALSE,NA,2001-01-06,2001-03-18,NA,Line 1,Type 1,4278.99282749727,TRUE,1e+07,0,4278.99282749727,2001-09-23,2001-09-23
1,   65,   65,FALSE,NA,2001-01-19,2001-08-14,NA,Line 1,Type 1,3876.77995744316,TRUE,1e+07,0,3876.77995744316,2003-09-26,2003-09-26
1,   66,   66,FALSE,NA,2001-01-10,2001-12-28,NA,Line 1,Type 1,4072.45852705859,TRUE,1e+07,0,4072.45852705859,2003-07-07,2003-07-07
1,   67,   67,FALSE,NA,2001-01-09,2001-09-26,NA,Line 1,Type 1,3964.72080541687,TRUE,1e+07,0,3964.72080541687,2005-05-07,2005-05-07
1,   68,   68,FALSE,NA,2001-01-17,2001-02-10,NA,Line 1,Type 1,5580.05915195865,TRUE,1e+07,0,5580.05915195865,2007-07-21,2007-07-21
1,   69,   69,FALSE,NA,2001-01-22,2001-03-20,NA,Line 1,Type 1,5150.39447444908,TRUE,1e+07,0,5150.39447444908,2004-04-06,2004-04-06
1,   70,   70,FALSE,NA,2001-01-14,2001-03-09,NA,Line 1,Type 1,4282.67798910143,TRUE,1e+07,0,4282.67798910143,2001-08-13,2001-08-13
1,   71,   71,FALSE,NA,2001-01-27,2001-02-06,NA,Line 1,Type 1,4901.21454097423,TRUE,1e+07,0,4901.21454097423,2002-10-10,2002-10-10
1,   72,   72,FALSE,NA,2001-01-04,2001-01-15,NA,Line 1,Type 1,4054.21158014762,TRUE,1e+07,0,4054.21158014762,2003-10-24,2003-10-24
1,   73,   73,FALSE,NA,2001-01-20,2001-09-18,NA,Line 1,Type 1,6490.00929168415,TRUE,1e+07,0,6490.00929168415,2004-06-30,2004-06-30
1,   74,   74,FALSE,NA,2001-01-14,2001-03-17,NA,Line 1,Type 1,5298.70051680103,TRUE,1e+07,0,5298.70051680103,2002-06-19,2002-06-19
1,   75,   75,FALSE,NA,2001-01-24,2001-01-29,NA,Line 1,Type 1,6912.42597156886,TRUE,1e+07,0,6912.42597156886,2010-09-20,2010-09-20
1,   76,   76,FALSE,NA,2001-01-01,2002-01-07,NA,Line 1,Type 1,6272.88995088594,TRUE,1e+07,0,6272.88995088594,2005-09-23,2005-09-23
1,   77,   77,FALSE,NA,2001-01-03,2001-05-15,NA,Line 1,Type 1,4453.59346425846,TRUE,1e+07,0,4453.59346425846,2005-11-15,2005-11-15
1,   78,   78,FALSE,NA,2001-01-20,2001-01-29,NA,Line 1,Type 1,3876.49345684831,TRUE,1e+07,0,3876.49345684831,2003-02-26,2003-02-26
1,   79,   79,FALSE,NA,2001-01-13,2001-05-10,NA,Line 1,Type 1,4061.2730784107,TRUE,1e+07,0,4061.2730784107,2005-03-12,2005-03-12
1,   80,   80,FALSE,NA,2001-01-28,2001-08-19,NA,Line 1,Type 1,7376.98426406099,TRUE,1e+07,0,7376.98426406099,2006-04-17,2006-04-17
1,   81,   81,FALSE,NA,2001-01-27,2001-05-09,NA,Line 1,Type 1,5260.02048356424,TRUE,1e+07,0,5260.02048356424,2002-09-11,2002-09-11
1,   82,   82,FALSE,NA,2001-01-15,2001-07-09,NA,Line 1,Type 1,6296.50641677406,TRUE,1e+07,0,6296.50641677406,2005-03-28,2005-03-28
1,   83,   83,FALSE,NA,2001-01-03,2001-11-11,NA,Line 1,Type 1,3343.78643946905,TRUE,1e+07,0,3343.78643946905,2002-10-10,2002-10-10
1,   84,   84,FALSE,NA,2001-01-22,2001-03-16,NA,Line 1,Type 1,4139.90093792874,TRUE,1e+07,0,4139.90093792874,2005-04-02,2005-04-02
1,   85,   85,FALSE,NA,2001-01-28,2001-03-08,NA,Line 1,Type 1,5207.19029584141,TRUE,1e+07,0,5207.19029584141,2002-05-13,2002-05-13
1,   86,   86,FALSE,NA,2001-01-19,2001-06-09,NA,Line 1,Type 1,4463.94351209523,TRUE,1e+07,0,4463.94351209523,2003-06-04,2003-06-04
1,   87,   87,FALSE,NA,2001-01-15,2001-04-14,NA,Line 1,Type 1,3357.24212343129,TRUE,1e+07,0,3357.24212343129,2001-08-18,2001-08-18
1,   88,   88,FALSE,NA,2001-01-08,2001-11-21,NA,Line 1,Type 1,5077.8703118733,TRUE,1e+07,0,5077.8703118733,2011-02-04,2011-02-04
1,   89,   89,FALSE,NA,2001-01-20,2001-08-31,NA,Line 1,Type 1,6399.84653900054,TRUE,1e+07,0,6399.84653900054,2004-03-19,2004-03-19
1,   90,   90,FALSE,NA,2001-01-29,2002-11-15,NA,Line 1,Type 1,5871.79621138688,TRUE,1e+07,0,5871.79621138688,2004-01-04,2004-01-04
1,   91,   91,FALSE,NA,2001-01-07,2001-08-19,NA,Line 1,Type 1,5690.87243035914,TRUE,1e+07,0,5690.87243035914,2003-12-03,2003-12-03
1,   92,   92,FALSE,NA,2001-01-24,2001-08-10,NA,Line 1,Type 1,6518.61945162259,TRUE,1e+07,0,6518.61945162259,2002-10-13,2002-10-13
1,   93,   93,FALSE,NA,2001-01-28,2001-08-01,NA,Line 1,Type 1,4536.94053473326,TRUE,1e+07,0,4536.94053473326,2004-09-18,2004-09-18
1,   94,   94,FALSE,NA,2001-01-05,2001-02-26,NA,Line 1,Type 1,4605.38804928631,TRUE,1e+07,0,4605.38804928631,2001-03-03,2001-03-03
1,   95,   95,FALSE,NA,2001-01-25,2001-03-12,NA,Line 1,Type 1,4346.64614697961,TRUE,1e+07,0,4346.64614697961,2001-12-02,2001-12-02
1,   96,   96,FALSE,NA,2001-01-23,2001-10-27,NA,Line 1,Type 1,5304.15157544104,TRUE,1e+07,0,5304.15157544104,2005-07-29,2005-07-29
1,   97,   97,FALSE,NA,2001-01-06,2002-04-17,NA,Line 1,Type 1,5615.13437030684,TRUE,1e+07,0,5615.13437030684,2002-05-06,2002-05-06
1,   98,   98,FALSE,NA,2001-01-08,2001-05-08,NA,Line 1,Type 1,3990.64710992243,TRUE,1e+07,0,3990.64710992243,2005-04-04,2005-04-04
1,   99,   99,FALSE,NA,2001-01-09,2001-02-17,NA,Line 1,Type 1,5205.47088573669,TRUE,1e+07,0,5205.47088573669,2004-11-25,2004-11-25
1,  100,  100,FALSE,NA,2001-01-22,2001-04-27,NA,Line 1,Type 1,5525.78733261308,TRUE,1e+07,0,5525.78733261308,2004-04-15,2004-04-15
1,  101,  101,FALSE,NA,2001-01-01,2001-02-05,NA,Line 1,Type 1,4849.96915709291,TRUE,1e+07,0,4849.96915709291,2005-07-15,2005-07-15
1,  102,  102,FALSE,NA,2001-01-22,2001-02-24,NA,Line 1,Type 1,4995.08202077804,TRUE,1e+07,0,4995.08202077804,2002-07-26,2002-07-26
1,  103,  103,FALSE,NA,2001-01-13,2001-09-26,NA,Line 1,Type 1,8982.97779391571,TRUE,1e+07,0,8982.97779391571,2004-03-17,2004-03-17
1,  104,  104,FALSE,NA,2001-02-11,2002-01-17,NA,Line 1,Type 1,4211.08530711875,TRUE,1e+07,0,4211.08530711875,2003-05-25,2003-05-25
1,  105,  105,FALSE,NA,2001-02-20,2001-03-05,NA,Line 1,Type 1,5626.6997619601,TRUE,1e+07,0,5626.6997619601,2002-08-05,2002-08-05
1,  106,  106,FALSE,NA,2001-02-16,2001-10-27,NA,Line 1,Type 1,5712.22714954625,TRUE,1e+07,0,5712.22714954625,2004-07-17,2004-07-17
1,  107,  107,FALSE,NA,2001-02-09,2001-09-07,NA,Line 1,Type 1,3999.1682781857,TRUE,1e+07,0,3999.1682781857,2009-04-06,2009-04-06
1,  108,  108,FALSE,NA,2001-02-17,2001-05-01,NA,Line 1,Type 1,3994.58272657571,TRUE,1e+07,0,3994.58272657571,2009-02-17,2009-02-17
1,  109,  109,FALSE,NA,2001-02-10,2003-07-12,NA,Line 1,Type 1,4361.59390747312,TRUE,1e+07,0,4361.59390747312,2004-08-24,2004-08-24
1,  110,  110,FALSE,NA,2001-02-24,2001-04-01,NA,Line 1,Type 1,5664.60700720283,TRUE,1e+07,0,5664.60700720283,2004-12-26,2004-12-26
1,  111,  111,FALSE,NA,2001-02-11,2002-03-13,NA,Line 1,Type 1,5152.51984070191,TRUE,1e+07,0,5152.51984070191,2002-09-02,2002-09-02
1,  112,  112,FALSE,NA,2001-02-15,2001-05-01,NA,Line 1,Type 1,3963.94206014531,TRUE,1e+07,0,3963.94206014531,2001-12-09,2001-12-09
1,  113,  113,FALSE,NA,2001-02-13,2001-11-06,NA,Line 1,Type 1,4462.73525311903,TRUE,1e+07,0,4462.73525311903,2002-04-28,2002-04-28
1,  114,  114,FALSE,NA,2001-02-01,2001-04-28,NA,Line 1,Type 1,4995.13108891253,TRUE,1e+07,0,4995.13108891253,2003-02-07,2003-02-07
1,  115,  115,FALSE,NA,2001-02-09,2001-07-17,NA,Line 1,Type 1,4643.06461320061,TRUE,1e+07,0,4643.06461320061,2004-04-12,2004-04-12
1,  116,  116,FALSE,NA,2001-02-03,2001-11-03,NA,Line 1,Type 1,4165.56064050913,TRUE,1e+07,0,4165.56064050913,2006-03-29,2006-03-29
1,  117,  117,FALSE,NA,2001-02-12,2001-07-15,NA,Line 1,Type 1,5024.6245074021,TRUE,1e+07,0,5024.6245074021,2004-04-10,2004-04-10
1,  118,  118,FALSE,NA,2001-02-11,2001-11-06,NA,Line 1,Type 1,5344.61365388537,TRUE,1e+07,0,5344.61365388537,2003-07-10,2003-07-10
1,  119,  119,FALSE,NA,2001-02-18,2001-09-20,NA,Line 1,Type 1,4638.83115495685,TRUE,1e+07,0,4638.83115495685,2002-04-29,2002-04-29
1,  120,  120,FALSE,NA,2001-02-23,2001-05-10,NA,Line 1,Type 1,4520.1488723514,TRUE,1e+07,0,4520.1488723514,2004-08-08,2004-08-08
1,  121,  121,FALSE,NA,2001-02-20,2001-04-23,NA,Line 1,Type 1,6635.68702973532,TRUE,1e+07,0,6635.68702973532,2001-07-07,2001-07-07
1,  122,  122,FALSE,NA,2001-02-02,2001-04-11,NA,Line 1,Type 1,4117.39543470554,TRUE,1e+07,0,4117.39543470554,2004-10-28,2004-10-28
1,  123,  123,FALSE,NA,2001-02-01,2001-06-04,NA,Line 1,Type 1,5603.7022120221,TRUE,1e+07,0,5603.7022120221,2011-01-19,2011-01-19
1,  124,  124,FALSE,NA,2001-02-01,2001-09-11,NA,Line 1,Type 1,5692.25279031315,TRUE,1e+07,0,5692.25279031315,2003-08-20,2003-08-20
1,  125,  125,FALSE,NA,2001-02-14,2001-04-24,NA,Line 1,Type 1,5745.87346086016,TRUE,1e+07,0,5745.87346086016,2001-10-02,2001-10-02
1,  126,  126,FALSE,NA,2001-02-06,2002-10-16,NA,Line 1,Type 1,5465.24111655446,TRUE,1e+07,0,5465.24111655446,2006-01-17,2006-01-17
1,  127,  127,FALSE,NA,2001-02-14,2002-07-03,NA,Line 1,Type 1,5061.28059695433,TRUE,1e+07,0,5061.28059695433,2004-10-25,2004-10-25
1,  128,  128,FALSE,NA,2001-02-04,2001-12-31,NA,Line 1,Type 1,4234.15821954878,TRUE,1e+07,0,4234.15821954878,2004-09-12,2004-09-12
1,  129,  129,FALSE,NA,2001-02-23,2001-11-16,NA,Line 1,Type 1,4120.50249698025,TRUE,1e+07,0,4120.50249698025,2003-07-21,2003-07-21
1,  130,  130,FALSE,NA,2001-02-16,2001-02-25,NA,Line 1,Type 1,4003.65011252073,TRUE,1e+07,0,4003.65011252073,2007-12-17,2007-12-17
1,  131,  131,FALSE,NA,2001-02-09,2001-11-27,NA,Line 1,Type 1,5019.6278329449,TRUE,1e+07,0,5019.6278329449,2006-04-16,2006-04-16
1,  132,  132,FALSE,NA,2001-02-26,2002-07-08,NA,Line 1,Type 1,4753.25631297022,TRUE,1e+07,0,4753.25631297022,2005-10-18,2005-10-18
1,  133,  133,FALSE,NA,2001-02-02,2001-05-13,NA,Line 1,Type 1,3874.37336246622,TRUE,1e+07,0,3874.37336246622,2002-12-01,2002-12-01
1,  134,  134,FALSE,NA,2001-02-26,2002-06-05,NA,Line 1,Type 1,4449.63995035895,TRUE,1e+07,0,4449.63995035895,2003-03-01,2003-03-01
1,  135,  135,FALSE,NA,2001-02-12,2001-03-21,NA,Line 1,Type 1,3006.13627548765,TRUE,1e+07,0,3006.13627548765,2002-11-28,2002-11-28
1,  136,  136,FALSE,NA,2001-02-12,2002-09-21,NA,Line 1,Type 1,4718.94493076733,TRUE,1e+07,0,4718.94493076733,2003-09-01,2003-09-01
1,  137,  137,FALSE,NA,2001-02-27,2002-02-17,NA,Line 1,Type 1,4025.50949077065,TRUE,1e+07,0,4025.50949077065,2004-07-20,2004-07-20
1,  138,  138,FALSE,NA,2001-02-09,2001-07-07,NA,Line 1,Type 1,4180.7946923929,TRUE,1e+07,0,4180.7946923929,2002-10-25,2002-10-25
1,  139,  139,FALSE,NA,2001-02-21,2001-05-28,NA,Line 1,Type 1,5180.90613525901,TRUE,1e+07,0,5180.90613525901,2002-07-10,2002-07-10
1,  140,  140,FALSE,NA,2001-02-25,2001-04-03,NA,Line 1,Type 1,5527.8495290209,TRUE,1e+07,0,5527.8495290209,2004-08-19,2004-08-19
1,  141,  141,FALSE,NA,2001-02-07,2001-10-29,NA,Line 1,Type 1,6129.07275247303,TRUE,1e+07,0,6129.07275247303,2006-01-30,2006-01-30
1,  142,  142,FALSE,NA,2001-02-04,2001-02-17,NA,Line 1,Type 1,3685.07630172759,TRUE,1e+07,0,3685.07630172759,2003-05-07,2003-05-07
1,  143,  143,FALSE,NA,2001-02-07,2001-08-09,NA,Line 1,Type 1,4417.67338782725,TRUE,1e+07,0,4417.67338782725,2002-02-19,2002-02-19
1,  144,  144,FALSE,NA,2001-02-06,2001-04-18,NA,Line 1,Type 1,7678.51985974629,TRUE,1e+07,0,7678.51985974629,2001-07-08,2001-07-08
1,  145,  145,FALSE,NA,2001-02-09,2001-07-18,NA,Line 1,Type 1,4197.87251411623,TRUE,1e+07,0,4197.87251411623,2017-08-28,2017-08-28
1,  146,  146,FALSE,NA,2001-02-11,2001-03-22,NA,Line 1,Type 1,3989.67277279426,TRUE,1e+07,0,3989.67277279426,2002-04-25,2002-04-25
1,  147,  147,FALSE,NA,2001-02-19,2001-04-04,NA,Line 1,Type 1,6216.46922440415,TRUE,1e+07,0,6216.46922440415,2001-06-29,2001-06-29
1,  148,  148,FALSE,NA,2001-02-06,2001-03-17,NA,Line 1,Type 1,4136.07915588778,TRUE,1e+07,0,4136.07915588778,2002-08-16,2002-08-16
1,  149,  149,FALSE,NA,2001-02-18,2001-03-05,NA,Line 1,Type 1,4977.90405323961,TRUE,1e+07,0,4977.90405323961,2007-04-07,2007-04-07
1,  150,  150,FALSE,NA,2001-02-27,2001-03-09,NA,Line 1,Type 1,5113.02709135744,TRUE,1e+07,0,5113.02709135744,2012-07-12,2012-07-12
1,  151,  151,FALSE,NA,2001-02-12,2001-05-14,NA,Line 1,Type 1,5269.45060102696,TRUE,1e+07,0,5269.45060102696,2002-07-04,2002-07-04
1,  152,  152,FALSE,NA,2001-02-27,2001-06-18,NA,Line 1,Type 1,4938.20664149794,TRUE,1e+07,0,4938.20664149794,2001-09-22,2001-09-22
1,  153,  153,FALSE,NA,2001-02-27,2001-07-12,NA,Line 1,Type 1,5268.01989683644,TRUE,1e+07,0,5268.01989683644,2003-08-12,2003-08-12
1,  154,  154,FALSE,NA,2001-02-15,2001-04-16,NA,Line 1,Type 1,4787.83413323077,TRUE,1e+07,0,4787.83413323077,2004-10-25,2004-10-25
1,  155,  155,FALSE,NA,2001-02-25,2001-10-26,NA,Line 1,Type 1,5944.25040550077,TRUE,1e+07,0,5944.25040550077,2003-09-27,2003-09-27
1,  156,  156,FALSE,NA,2001-02-26,2001-08-31,NA,Line 1,Type 1,5630.13731640377,TRUE,1e+07,0,5630.13731640377,2002-10-27,2002-10-27
1,  157,  157,FALSE,NA,2001-02-10,2001-06-01,NA,Line 1,Type 1,4914.47366366135,TRUE,1e+07,0,4914.47366366135,2006-06-18,2006-06-18
1,  158,  158,FALSE,NA,2001-02-08,2001-05-23,NA,Line 1,Type 1,6470.60458160432,TRUE,1e+07,0,6470.60458160432,2001-07-03,2001-07-03
1,  159,  159,FALSE,NA,2001-02-03,2001-08-20,NA,Line 1,Type 1,4419.11960257419,TRUE,1e+07,0,4419.11960257419,2013-09-01,2013-09-01
1,  160,  160,FALSE,NA,2001-02-12,2001-10-01,NA,Line 1,Type 1,6173.89735654413,TRUE,1e+07,0,6173.89735654413,2003-08-25,2003-08-25
1,  161,  161,FALSE,NA,2001-02-03,2001-02-04,NA,Line 1,Type 1,4506.9370549663,TRUE,1e+07,0,4506.9370549663,2001-03-01,2001-03-01
1,  162,  162,FALSE,NA,2001-02-07,2001-06-11,NA,Line 1,Type 1,4772.12368412877,TRUE,1e+07,0,4772.12368412877,2004-03-02,2004-03-02
