SimulationNo,OccurrenceNo,ClaimNo,TransactionDate,Action,CaseReserve,Payment,Loss
1,10007,10007,2010-06-30,RES,0,0,0
1,10007,10007,2010-07-08,INT40,0,0,0
1,10007,10007,2011-04-24,INT70,0,0,0
1,10007,10007,2011-06-30,RES,0,0,0
1,10007,10007,2011-11-03,INT90,0,0,0
1,10007,10007,2012-02-08,PMT,-2971.68554069207,4952.80923448678,0
1,10008,10008,2010-11-22,RPT,2463.68507387846,0,0
1,10008,10008,2011-01-17,INT40,0,0,0
1,10008,10008,2011-02-27,INT70,0,0,0
1,10008,10008,2011-03-27,INT90,0,0,0
1,10008,10008,2011-04-10,PMT,-2463.68507387846,4106.14178979743,0
1,10009,10009,2009-08-11,RPT,2925.22119650344,0,0
1,10009,10009,2009-11-28,INT40,0,0,0
1,10009,10009,2010-02-18,INT70,0,0,0
1,10009,10009,2010-04-14,INT90,0,0,0
1,10009,10009,2010-05-11,PMT,-2925.22119650344,4875.36866083907,0
1,1001,1001,2002-01-01,RPT,2630.3961403835,0,0
1,1001,1001,2002-06-30,RES,0,0,0
1,1001,1001,2003-06-30,RES,0,0,0
1,1001,1001,2004-06-30,RES,0,0,0
1,1001,1001,2005-06-30,RES,0,0,0
1,1001,1001,2006-06-30,RES,0,0,0
1,1001,1001,2007-02-08,INT40,0,0,0
1,1001,1001,2007-06-30,RES,0,0,0
1,1001,1001,2008-06-30,RES,0,0,0
1,1001,1001,2009-06-30,RES,0,0,0
1,1001,1001,2010-06-30,RES,0,0,0
1,1001,1001,2010-12-06,INT70,0,0,0
1,1001,1001,2011-06-30,RES,0,0,0
1,1001,1001,2012-06-30,RES,0,0,0
1,1001,1001,2013-06-25,INT90,0,0,0
1,1001,1001,2013-06-30,RES,0,0,0
1,1001,1001,2014-06-30,RES,1392.26376522552,0,0
1,1001,1001,2014-10-04,PMT,-4022.65990560902,4383.99356730583,0
1,10010,10010,2009-06-17,RPT,2086.38773483375,0,0
1,10010,10010,2009-06-30,RES,0,0,0
1,10010,10010,2010-06-30,RES,0,0,0
1,10010,10010,2010-09-26,INT40,0,0,0
1,10010,10010,2011-06-30,RES,0,0,0
1,10010,10010,2011-09-10,INT70,0,0,0
1,10010,10010,2012-04-30,INT90,0,0,0
1,10010,10010,2012-06-30,RES,733.701070554366,0,0
1,10010,10010,2012-08-24,PMT,-2820.08880538812,3477.31289138959,0
1,10011,10011,2012-04-21,RPT,3386.5805257737,0,0
1,10011,10011,2012-05-27,INT40,0,0,0
1,10011,10011,2012-06-22,INT70,0,0,0
1,10011,10011,2012-06-30,RES,0,0,0
1,10011,10011,2012-07-10,INT90,0,0,0
1,10011,10011,2012-07-19,PMT,-3386.5805257737,5644.3008762895,0
1,10012,10012,2010-01-15,RPT,3134.49107651145,0,0
1,10012,10012,2010-06-30,RES,0,0,0
1,10012,10012,2011-06-30,RES,0,0,0
1,10012,10012,2011-10-12,INT40,0,0,0
1,10012,10012,2012-06-30,RES,0,0,0
1,10012,10012,2013-01-31,INT70,0,0,0
1,10012,10012,2013-06-30,RES,0,0,0
1,10012,10012,2013-12-14,INT90,0,0,0
1,10012,10012,2014-05-22,PMT,-3134.49107651145,5224.15179418575,0
1,10013,10013,2009-05-10,RPT,4815.85259437667,0,0
1,10013,10013,2009-05-11,PMT,-4815.85259437667,8026.42099062778,0
1,10014,10014,2009-12-23,RPT,2366.93044886362,0,0
1,10014,10014,2010-01-27,INT40,0,0,0
1,10014,10014,2010-02-22,INT70,0,0,0
1,10014,10014,2010-03-11,INT90,0,0,0
1,10014,10014,2010-03-20,PMT,-2366.93044886362,3944.88408143937,0
1,10015,10015,2011-08-30,RPT,3320.81566514827,0,0
1,10015,10015,2012-06-30,RES,0,0,0
1,10015,10015,2013-06-30,RES,0,0,0
1,10015,10015,2014-06-30,RES,0,0,0
1,10015,10015,2014-08-28,INT40,0,0,0
1,10015,10015,2015-06-30,RES,0,0,0
1,10015,10015,2016-06-30,RES,0,0,0
1,10015,10015,2016-11-26,INT70,0,0,0
1,10015,10015,2017-06-30,RES,0,0,0
1,10015,10015,2018-05-27,INT90,0,0,0
1,10015,10015,2018-06-30,RES,271.879645099857,0,0
1,10015,10015,2019-02-25,PMT,-3592.69531024812,5534.69277524711,0
1,10016,10016,2010-05-10,RPT,2727.43502112839,0,0
1,10016,10016,2010-06-30,RES,0,0,0
1,10016,10016,2011-06-30,RES,0,0,0
1,10016,10016,2012-06-30,RES,0,0,0
1,10016,10016,2012-12-11,INT40,0,0,0
1,10016,10016,2013-06-30,RES,0,0,0
1,10016,10016,2014-06-30,RES,0,0,0
1,10016,10016,2014-11-20,INT70,0,0,0
1,10016,10016,2015-06-30,RES,0,0,0
1,10016,10016,2016-03-07,INT90,0,0,0
1,10016,10016,2016-06-30,RES,887.608577095929,0,0
1,10016,10016,2016-10-29,PMT,-3615.04359822432,4545.72503521399,0
1,10017,10017,2010-05-31,RPT,2729.5254615796,0,0
1,10017,10017,2010-06-30,RES,0,0,0
1,10017,10017,2011-06-30,RES,0,0,0
1,10017,10017,2012-06-30,RES,0,0,0
1,10017,10017,2012-07-07,INT40,0,0,0
1,10017,10017,2013-06-30,RES,0,0,0
1,10017,10017,2014-02-02,INT70,0,0,0
1,10017,10017,2014-06-30,RES,0,0,0
1,10017,10017,2015-02-21,INT90,0,0,0
1,10017,10017,2015-06-30,RES,1222.28880318781,0,0
1,10017,10017,2015-09-01,PMT,-3951.8142647674,4549.20910263266,0
1,10018,10018,2009-10-16,RPT,2977.73480776933,0,0
1,10018,10018,2009-11-25,INT40,0,0,0
1,10018,10018,2009-12-25,INT70,0,0,0
1,10018,10018,2010-01-14,INT90,0,0,0
1,10018,10018,2010-01-24,PMT,-2977.73480776933,4962.89134628221,0
1,10019,10019,2009-05-16,RPT,3254.61888763241,0,0
1,10019,10019,2009-06-30,RES,0,0,0
1,10019,10019,2010-06-30,RES,0,0,0
1,10019,10019,2010-08-05,INT40,0,0,0
1,10019,10019,2011-06-30,RES,0,0,0
1,10019,10019,2011-07-05,INT70,0,0,0
1,10019,10019,2012-02-14,INT90,0,0,0
1,10019,10019,2012-06-04,PMT,-3254.61888763241,5424.36481272069,0
1,1002,1002,2001-11-06,RPT,3485.20532652277,0,0
1,1002,1002,2002-03-22,INT40,0,0,0
1,1002,1002,2002-06-30,RES,0,0,0
1,1002,1002,2002-07-01,INT70,0,0,0
1,1002,1002,2002-09-07,INT90,0,0,0
1,1002,1002,2002-10-11,PMT,-3485.20532652277,5808.67554420461,0
1,10020,10020,2010-11-21,RPT,2921.24211264997,0,0
1,10020,10020,2011-06-30,RES,0,0,0
1,10020,10020,2012-06-30,RES,0,0,0
1,10020,10020,2013-06-30,RES,0,0,0
1,10020,10020,2014-06-30,RES,0,0,0
1,10020,10020,2014-10-07,INT40,0,0,0
1,10020,10020,2015-06-30,RES,0,0,0
1,10020,10020,2016-06-30,RES,0,0,0
1,10020,10020,2017-06-30,RES,0,0,0
1,10020,10020,2017-09-03,INT70,0,0,0
1,10020,10020,2018-06-30,RES,0,0,0
1,10020,10020,2019-06-30,RES,0,0,0
1,10020,10020,2019-08-12,INT90,0,0,0
1,10020,10020,2020-06-30,RES,1776.95141692267,0,0
1,10020,10020,2020-07-31,PMT,-4698.19352957264,4868.73685441661,0
1,10021,10021,2009-06-26,RPT,3052.49797314992,0,0
1,10021,10021,2009-06-30,RES,0,0,0
1,10021,10021,2009-07-20,INT40,0,0,0
1,10021,10021,2009-08-07,INT70,0,0,0
1,10021,10021,2009-08-19,INT90,0,0,0
1,10021,10021,2009-08-25,PMT,-3052.49797314992,5087.49662191653,0
1,10022,10022,2009-08-17,RPT,4361.46598504819,0,0
1,10022,10022,2010-06-30,RES,0,0,0
1,10022,10022,2010-09-24,INT40,0,0,0
1,10022,10022,2011-06-30,RES,0,0,0
1,10022,10022,2011-07-23,INT70,0,0,0
1,10022,10022,2012-02-09,INT90,0,0,0
1,10022,10022,2012-05-20,PMT,-4361.46598504819,7269.10997508031,0
1,10023,10023,2009-12-25,RPT,3741.43272795071,0,0
1,10023,10023,2010-02-26,INT40,0,0,0
1,10023,10023,2010-04-15,INT70,0,0,0
1,10023,10023,2010-05-16,INT90,0,0,0
1,10023,10023,2010-06-01,PMT,-3741.43272795071,6235.72121325119,0
1,10024,10024,2010-03-15,RPT,2226.67909432865,0,0
1,10024,10024,2010-06-30,RES,0,0,0
1,10024,10024,2011-06-30,RES,0,0,0
1,10024,10024,2012-06-30,RES,0,0,0
1,10024,10024,2013-06-30,RES,0,0,0
1,10024,10024,2013-07-03,INT40,0,0,0
1,10024,10024,2014-06-30,RES,0,0,0
1,10024,10024,2015-06-30,RES,0,0,0
1,10024,10024,2015-12-25,INT70,0,0,0
1,10024,10024,2016-06-30,RES,0,0,0
1,10024,10024,2017-06-30,RES,0,0,0
1,10024,10024,2017-08-19,INT90,0,0,0
1,10024,10024,2018-06-17,PMT,-2226.67909432865,3711.13182388109,0
1,10025,10025,2012-04-09,RPT,3243.56786054419,0,0
1,10025,10025,2012-06-30,RES,0,0,0
1,10025,10025,2013-01-07,INT40,0,0,0
1,10025,10025,2013-06-30,RES,0,0,0
1,10025,10025,2013-07-31,INT70,0,0,0
1,10025,10025,2013-12-15,INT90,0,0,0
1,10025,10025,2014-02-21,PMT,-3243.56786054419,5405.94643424032,0
1,10026,10026,2010-04-02,RPT,2686.60988821015,0,0
1,10026,10026,2010-06-30,RES,0,0,0
1,10026,10026,2011-01-22,INT40,0,0,0
1,10026,10026,2011-06-30,RES,0,0,0
1,10026,10026,2011-08-31,INT70,0,0,0
1,10026,10026,2012-01-25,INT90,0,0,0
1,10026,10026,2012-04-08,PMT,-2686.60988821015,4477.68314701692,0
1,10027,10027,2009-08-06,RPT,2381.49351039539,0,0
1,10027,10027,2010-06-30,RES,0,0,0
1,10027,10027,2011-02-22,INT40,0,0,0
1,10027,10027,2011-06-30,RES,0,0,0
1,10027,10027,2012-04-20,INT70,0,0,0
1,10027,10027,2012-06-30,RES,0,0,0
1,10027,10027,2013-01-28,INT90,0,0,0
1,10027,10027,2013-06-18,PMT,-2381.49351039539,3969.15585065899,0
1,10028,10028,2010-01-07,RPT,2801.32444932616,0,0
1,10028,10028,2010-06-30,RES,0,0,0
1,10028,10028,2010-10-31,INT40,0,0,0
1,10028,10028,2011-06-10,INT70,0,0,0
1,10028,10028,2011-06-30,RES,0,0,0
1,10028,10028,2011-11-06,INT90,0,0,0
1,10028,10028,2012-01-19,PMT,-2801.32444932616,4668.87408221026,0
1,10029,10029,2010-01-01,RPT,2942.19437079706,0,0
1,10029,10029,2010-06-28,INT40,0,0,0
1,10029,10029,2010-06-30,RES,0,0,0
1,10029,10029,2010-11-08,INT70,0,0,0
1,10029,10029,2011-02-05,INT90,0,0,0
1,10029,10029,2011-03-21,PMT,-2942.19437079706,4903.65728466176,0
1,1003,1003,2002-07-12,RPT,3123.59234939977,0,0
1,1003,1003,2003-03-09,INT40,0,0,0
1,1003,1003,2003-06-30,RES,0,0,0
1,1003,1003,2003-09-04,INT70,0,0,0
1,1003,1003,2004-01-02,INT90,0,0,0
1,1003,1003,2004-03-02,PMT,-3123.59234939977,5205.98724899962,0
1,10030,10030,2009-07-12,RPT,2388.26190830908,0,0
1,10030,10030,2009-07-23,INT40,0,0,0
1,10030,10030,2009-07-31,INT70,0,0,0
1,10030,10030,2009-08-05,INT90,0,0,0
1,10030,10030,2009-08-08,PMT,-2388.26190830908,3980.43651384847,0
1,10031,10031,2009-07-03,RPT,4181.19931741623,0,0
1,10031,10031,2010-06-30,RES,0,0,0
1,10031,10031,2011-05-01,INT40,0,0,0
1,10031,10031,2011-06-30,RES,0,0,0
1,10031,10031,2012-06-30,RES,0,0,0
1,10031,10031,2012-09-13,INT70,0,0,0
1,10031,10031,2013-06-30,RES,0,0,0
1,10031,10031,2013-08-12,INT90,0,0,0
1,10031,10031,2014-01-26,PMT,-4181.19931741623,6968.66552902705,0
1,10032,10032,2009-08-25,RPT,3146.92705799596,0,0
1,10032,10032,2010-06-21,INT40,0,0,0
1,10032,10032,2010-06-30,RES,0,0,0
1,10032,10032,2011-02-02,INT70,0,0,0
1,10032,10032,2011-06-30,RES,0,0,0
1,10032,10032,2011-07-02,INT90,0,0,0
1,10032,10032,2011-09-15,PMT,-3146.92705799596,5244.87842999326,0
1,10033,10033,2009-09-13,RPT,4321.39562930173,0,0
1,10033,10033,2010-02-25,INT40,0,0,0
1,10033,10033,2010-06-28,INT70,0,0,0
1,10033,10033,2010-06-30,RES,0,0,0
1,10033,10033,2010-09-19,INT90,0,0,0
1,10033,10033,2010-10-30,PMT,-4321.39562930173,7202.32604883622,0
1,10034,10034,2010-10-03,RPT,2770.42962239506,0,0
1,10034,10034,2011-06-30,RES,0,0,0
1,10034,10034,2011-09-29,INT40,0,0,0
1,10034,10034,2012-06-25,INT70,0,0,0
1,10034,10034,2012-06-30,RES,0,0,0
1,10034,10034,2012-12-23,INT90,0,0,0
1,10034,10034,2013-03-23,PMT,-2770.42962239506,4617.38270399177,0
1,10035,10035,2009-06-03,RPT,3487.15835931739,0,0
1,10035,10035,2009-06-30,RES,0,0,0
1,10035,10035,2010-06-30,RES,0,0,0
1,10035,10035,2011-02-16,INT40,0,0,0
1,10035,10035,2011-06-30,RES,0,0,0
1,10035,10035,2012-05-28,INT70,0,0,0
1,10035,10035,2012-06-30,RES,0,0,0
1,10035,10035,2013-04-04,INT90,0,0,0
1,10035,10035,2013-06-30,RES,1294.5263530414,0,0
1,10035,10035,2013-09-07,PMT,-4781.68471235879,5811.93059886232,0
1,10036,10036,2010-08-07,RPT,2760.57454068522,0,0
1,10036,10036,2010-09-09,INT40,0,0,0
1,10036,10036,2010-10-04,INT70,0,0,0
1,10036,10036,2010-10-21,INT90,0,0,0
1,10036,10036,2010-10-29,PMT,-2760.57454068522,4600.9575678087,0
1,10037,10037,2009-08-21,RPT,2752.17764783043,0,0
1,10037,10037,2010-06-10,INT40,0,0,0
1,10037,10037,2010-06-30,RES,0,0,0
1,10037,10037,2011-01-15,INT70,0,0,0
1,10037,10037,2011-06-11,INT90,0,0,0
1,10037,10037,2011-06-30,RES,481.255107817343,0,0
1,10037,10037,2011-08-23,PMT,-3233.43275564777,4586.96274638405,0
1,10038,10038,2009-11-02,RPT,2239.78182304661,0,0
1,10038,10038,2010-05-09,INT40,0,0,0
1,10038,10038,2010-06-30,RES,0,0,0
1,10038,10038,2010-09-27,INT70,0,0,0
1,10038,10038,2010-12-30,INT90,0,0,0
1,10038,10038,2011-02-15,PMT,-2239.78182304661,3732.96970507769,0
1,10039,10039,2009-05-26,RPT,3859.35612793365,0,0
1,10039,10039,2009-06-30,RES,0,0,0
1,10039,10039,2009-09-22,INT40,0,0,0
1,10039,10039,2009-12-20,INT70,0,0,0
1,10039,10039,2010-02-17,INT90,0,0,0
1,10039,10039,2010-03-19,PMT,-3859.35612793365,6432.26021322275,0
1,1004,1004,2002-03-28,RPT,3180.89140484474,0,0
1,1004,1004,2002-06-30,RES,0,0,0
1,1004,1004,2003-06-30,RES,0,0,0
1,1004,1004,2003-08-05,INT40,0,0,0
1,1004,1004,2004-06-30,RES,0,0,0
1,1004,1004,2004-08-11,INT70,0,0,0
1,1004,1004,2005-04-15,INT90,0,0,0
1,1004,1004,2005-06-30,RES,1298.3929374649,0,0
1,1004,1004,2005-08-17,PMT,-4479.28434230963,5301.48567474123,0
1,10040,10040,2010-07-11,RPT,3514.00961232593,0,0
1,10040,10040,2011-04-19,INT40,0,0,0
1,10040,10040,2011-06-30,RES,0,0,0
1,10040,10040,2011-11-16,INT70,0,0,0
1,10040,10040,2012-04-05,INT90,0,0,0
1,10040,10040,2012-06-14,PMT,-3514.00961232593,5856.68268720988,0
1,10041,10041,2009-06-17,RPT,3751.24538672252,0,0
1,10041,10041,2009-06-30,RES,0,0,0
1,10041,10041,2010-06-30,RES,0,0,0
1,10041,10041,2010-11-11,INT40,0,0,0
1,10041,10041,2011-06-30,RES,0,0,0
1,10041,10041,2011-11-30,INT70,0,0,0
1,10041,10041,2012-06-30,RES,0,0,0
1,10041,10041,2012-08-12,INT90,0,0,0
1,10041,10041,2012-12-18,PMT,-3751.24538672252,6252.07564453754,0
1,10042,10042,2009-06-24,RPT,2551.312950221,0,0
1,10042,10042,2009-06-28,INT40,0,0,0
1,10042,10042,2009-06-30,RES,0,0,0
1,10042,10042,2009-07-01,INT70,0,0,0
1,10042,10042,2009-07-03,INT90,0,0,0
1,10042,10042,2009-07-04,PMT,-2551.312950221,4252.18825036833,0
1,10043,10043,2009-06-08,RPT,2356.95399055758,0,0
1,10043,10043,2009-06-30,RES,0,0,0
1,10043,10043,2010-06-30,RES,0,0,0
1,10043,10043,2010-08-19,INT40,0,0,0
1,10043,10043,2011-06-30,RES,0,0,0
1,10043,10043,2011-07-13,INT70,0,0,0
1,10043,10043,2012-02-17,INT90,0,0,0
1,10043,10043,2012-06-05,PMT,-2356.95399055758,3928.2566509293,0
1,10044,10044,2009-10-08,RPT,3216.21745832041,0,0
1,10044,10044,2010-06-30,RES,0,0,0
1,10044,10044,2011-06-30,RES,0,0,0
1,10044,10044,2012-06-30,RES,0,0,0
1,10044,10044,2013-02-11,INT40,0,0,0
1,10044,10044,2013-06-30,RES,0,0,0
1,10044,10044,2014-06-30,RES,0,0,0
1,10044,10044,2015-06-30,RES,0,0,0
1,10044,10044,2015-08-16,INT70,0,0,0
1,10044,10044,2016-06-30,RES,0,0,0
1,10044,10044,2017-04-19,INT90,0,0,0
1,10044,10044,2017-06-30,RES,508.839641523687,0,0
1,10044,10044,2018-02-18,PMT,-3725.0570998441,5360.36243053402,0
1,10045,10045,2009-09-17,RPT,1820.90659609505,0,0
1,10045,10045,2010-06-30,RES,0,0,0
1,10045,10045,2011-06-30,RES,0,0,0
1,10045,10045,2012-06-30,RES,0,0,0
1,10045,10045,2013-06-30,RES,0,0,0
1,10045,10045,2014-06-30,RES,0,0,0
1,10045,10045,2015-06-30,RES,0,0,0
1,10045,10045,2015-09-25,INT40,0,0,0
1,10045,10045,2016-06-30,RES,0,0,0
1,10045,10045,2017-06-30,RES,0,0,0
1,10045,10045,2018-06-30,RES,0,0,0
1,10045,10045,2019-06-30,RES,0,0,0
1,10045,10045,2020-03-31,INT70,0,0,0
1,10045,10045,2020-06-30,RES,0,0,0
1,10045,10045,2021-06-30,RES,0,0,0
1,10045,10045,2022-06-30,RES,0,0,0
1,10045,10045,2023-04-04,INT90,0,0,0
1,10045,10045,2023-06-30,RES,191.46516509786,0,0
1,10045,10045,2024-06-30,RES,808.261250586123,0,0
1,10045,10045,2024-10-05,PMT,-2820.63301177903,3034.84432682508,0
1,10046,10046,2009-05-23,RPT,3341.69206219378,0,0
1,10046,10046,2009-06-30,RES,0,0,0
1,10046,10046,2010-02-19,INT40,0,0,0
1,10046,10046,2010-06-30,RES,0,0,0
1,10046,10046,2010-09-12,INT70,0,0,0
1,10046,10046,2011-01-26,INT90,0,0,0
1,10046,10046,2011-04-04,PMT,-3341.69206219378,5569.48677032296,0
1,10047,10047,2010-05-25,RPT,2982.32195374264,0,0
1,10047,10047,2010-06-30,RES,0,0,0
1,10047,10047,2010-08-06,INT40,0,0,0
1,10047,10047,2010-09-30,INT70,0,0,0
1,10047,10047,2010-11-06,INT90,0,0,0
1,10047,10047,2010-11-24,PMT,-2982.32195374264,4970.53658957106,0
1,10048,10048,2009-07-10,RPT,3213.7756185358,0,0
1,10048,10048,2010-06-30,RES,0,0,0
1,10048,10048,2011-06-30,RES,0,0,0
1,10048,10048,2012-06-30,RES,0,0,0
1,10048,10048,2013-04-27,INT40,0,0,0
1,10048,10048,2013-06-30,RES,0,0,0
1,10048,10048,2014-06-30,RES,0,0,0
1,10048,10048,2015-06-30,RES,0,0,0
1,10048,10048,2016-03-03,INT70,0,0,0
1,10048,10048,2016-06-30,RES,0,0,0
1,10048,10048,2017-06-30,RES,0,0,0
1,10048,10048,2018-01-25,INT90,0,0,0
1,10048,10048,2018-06-30,RES,962.526415547632,0,0
1,10048,10048,2019-01-07,PMT,-4176.30203408343,5356.29269755967,0
1,10049,10049,2010-04-05,RPT,2535.08638018695,0,0
1,10049,10049,2010-06-30,RES,0,0,0
1,10049,10049,2011-06-30,RES,0,0,0
1,10049,10049,2012-04-16,INT40,0,0,0
1,10049,10049,2012-06-30,RES,0,0,0
1,10049,10049,2013-06-30,RES,0,0,0
1,10049,10049,2013-10-25,INT70,0,0,0
1,10049,10049,2014-06-30,RES,0,0,0
1,10049,10049,2014-10-31,INT90,0,0,0
1,10049,10049,2015-05-05,PMT,-2535.08638018695,4225.14396697825,0
1,1005,1005,2002-12-14,RPT,3786.58161121051,0,0
1,1005,1005,2002-12-28,INT40,0,0,0
1,1005,1005,2003-01-07,INT70,0,0,0
1,1005,1005,2003-01-15,INT90,360.626820115285,0,0
1,1005,1005,2003-01-18,PMT,-4147.20843132579,6310.96935201751,0
1,10050,10050,2009-08-16,RPT,3600.81525363536,0,0
1,10050,10050,2009-09-22,INT40,0,0,0
1,10050,10050,2009-10-19,INT70,0,0,0
1,10050,10050,2009-11-07,INT90,0,0,0
1,10050,10050,2009-11-16,PMT,-3600.81525363536,6001.35875605894,0
1,10051,10051,2010-10-06,RPT,2843.13370722335,0,0
1,10051,10051,2011-06-30,RES,0,0,0
1,10051,10051,2012-06-30,RES,0,0,0
1,10051,10051,2012-08-08,INT40,0,0,0
1,10051,10051,2013-06-30,RES,0,0,0
1,10051,10051,2013-12-26,INT70,0,0,0
1,10051,10051,2014-06-30,RES,0,0,0
1,10051,10051,2014-11-27,INT90,0,0,0
1,10051,10051,2015-05-14,PMT,-2843.13370722335,4738.55617870558,0
1,10052,10052,2009-06-11,RPT,2958.051117775,0,0
1,10052,10052,2009-06-30,RES,0,0,0
1,10052,10052,2010-06-30,RES,0,0,0
1,10052,10052,2011-06-30,RES,0,0,0
1,10052,10052,2011-08-06,INT40,0,0,0
1,10052,10052,2012-06-30,RES,0,0,0
1,10052,10052,2013-03-17,INT70,0,0,0
1,10052,10052,2013-06-30,RES,0,0,0
1,10052,10052,2014-04-14,INT90,0,0,0
1,10052,10052,2014-06-30,RES,777.166179619092,0,0
1,10052,10052,2014-10-27,PMT,-3735.21729739409,4930.08519629166,0
1,10053,10053,2009-07-17,RPT,2512.08611049873,0,0
1,10053,10053,2010-06-30,RES,0,0,0
1,10053,10053,2011-06-30,RES,0,0,0
1,10053,10053,2012-06-30,RES,0,0,0
1,10053,10053,2012-11-24,INT40,0,0,0
1,10053,10053,2013-06-30,RES,0,0,0
1,10053,10053,2014-06-30,RES,0,0,0
1,10053,10053,2015-06-01,INT70,0,0,0
1,10053,10053,2015-06-30,RES,0,0,0
1,10053,10053,2016-06-30,RES,0,0,0
1,10053,10053,2017-02-03,INT90,0,0,0
1,10053,10053,2017-06-30,RES,805.660340921482,0,0
1,10053,10053,2017-12-06,PMT,-3317.74645142021,4186.81018416455,0
1,10054,10054,2009-06-29,RPT,3077.87943449496,0,0
